dossier,OECD guideline,type of study,pdf link,clinical examination,microscopic finding,gross pathology,dose descriptor ,dose descriptor unit,moribund or dead animals prior to study termination ,mortality rate,conclusion,homogeneity and stability,treatment prior to application,pH,solid,solubility in vehicle,liquid,aerosol/dust/vapour,"particle size, shape and density distribution",concentration (% nominal and actual),composition,purity (%),chemical batch nr,additional info,species/strain,source,age value at start of experiment ,"age unit (day, week, month, year)","sex (female, male)",weight,"weight measuring unit (gram, kilogram)",feed,n animals / dose,dose levels,dose level unit ( or extra info),administration scheme,"oral (gavage, drink water, feed)",dermal,body surface area,"patching technique ( open, semi-occluded, occluded)",skin condition and region,"inhalation (nose (head) -only, whole body)",occular,other,dose volume ml/kg bw,rinsing procedure,use of anaesthetics and analgesics,vehicle name,vehicle concentration %,exposure time (hour),observation period (day),SCCS comment to test,year,control groups,GLP,preliminary test,Klimisch score,Ref. in dossier,additional information,own comments
basic red 51,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,"clinical observations observed prior to death included hypoactivity, recumbency, irregular respiration, ataxia, and squinted eye. the 2 males from the lowest dose (500 mg/kg bw) survived until the scheduled sacrifice and gained weight during the course of the study. clinical observations in these animals included hypoactivity, irregular respiration, ataxia, squinted eyes, discoloured urine, faecal stains, and/or few faeces. most of these findings were resolved by day 3.","at necropsy, no visible lesions were noted in the two males that survived in the 500 mg/kg dose group. ","in the animals that died,  macroscopic findings involved the stomach, caecum, ileum, duodenum, jejunum, and/or colon. these were discoloured and/or distended filled with purple, red, or pink fluid.",,,yes,"most animals, except one female and 2 males at the lowest dose (500 mg/kg bw), died within the first 24 h of the experiment. the female died on day 1",,,,,,,,,,,,97.2,029753 a8aa,test substance: mip 2985,rat/crl:cd (sd)igs br,,,,f & m,,,,"4 , 10 ","500, 1000, 1500, 2000",mg/kg bw,single dose,yes,,,,,,,,,,,cell culture grade water,,,14,,,,yes,"in a dose-limit test, the test substance was dissolved in cell culture grade water and administered by gavage as single doses of mip 2985 at 2000 mg/kg bw (5 rats per sex). the treatment-related mortality occurred at this dose. thus additional dose levels (500, 1000, 1500) were tested on 2 rats per sex per dose.",,taken from sccnfp/0735/03 ,"4 animals(3 low doses), 10 animals (highest dose)",
basic red 51,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,"3 males, including the two that died on day 1, were hypoactive and had roughened haircoat within 4 hours. 1 female was hypoactive and had liquid and/or mucoid faeces within 4h post-dosing. all surviving animals gained weight and showed no post-mortem anomalies at the end of the study",,"macroscopic findings of the 2 males that died showed discoloured and/or distended stomach, caecum, ileum, duodenum, jejunum and bladder filled with purple, red, or pink fluid.",,,yes, 2 males receiving 500 mg/kg bw died on day 1. all other animals survived until the end of the experiment. ,the acute oral ld50 was considered to be between 250 - 500 mg/kg bw in females and between 500 - 1000 mg/kg bw in males,,,,,,,,,,,97.2,029753 a8aa,test substance: mip 2985,rat/ crl:cd (sd)igs br,,,,f & m,,,,5,"250, 500",mg/kg bw,single dose,yes,,,,,,,,,,,cell culture grade water,,,14,,,,yes,,,1,"in this small range-finding study, dosages were reduced. 5 male animal (high dose only), 5 female animal (low dose only)",
hydroxypropyl p-phenylenediamine and its dihydrochloride salt,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_230.pdf,"the clinical signs observed included lethargy, tremor, salivation, lacrimation, chromodacryorrhea and prostration in the high dose group. only mild salivation and lethargy were observed in the mid dose group.",lung and liver congestion were noted at necropsy. ,,300 --> 1000 ,ld50 between the mentioned numbers mg/kg,yes,"mortality was obsereved in all rats (10/10) treated at 1000mg/kg at day 1,2or 3 post dosing. one death (1/10) was noted at the mild dose level of 300mg/kg/day at day 14 after dosing . ",the test chemical is moderately toxic after a single oral administration,,,,,,,,,,,,,,rat,,,,,,,,10,"100, 300, 1000 ",mg/kg,single,yes,,,,,,,,,,,,,,14,the 14-day oral repeated dose toxicity study provides evidence that hydroxypropyl pphenylenediamine 2HCl caused mortality at dose levels of 300 and 1000 mg/kg. this study indicates that the ld50 is above 300 mg/kg.,,,no,,,"mehta,2013",,
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"showed signs of slight cramps, exopthalmos, dyspnoea, and ventral decubitus, with recovery by 24 to 48 h after dosing.",,,19,ld50 mg/kg,,,,,,,,,,,,,,,,,mouse /nmri,,,,,,,,,"10, 20",mg/kg,,,,,,,,,intravenous,,,,triethyleneglycol/water,1-Feb,,,,1968,,no,,,2,"walther 1968a,predates glp and oecd ",
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,,,4350,ld50 mg/kg,,,"triclosan is not acutely toxic via the oral route of administration, with high oral intubation ld50",,,,,,,,,,,,,,mouse,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1989,,no,,,1,"desalva et al. glp and oecd status not reported, but some studies likely predate glp and oecd ",
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"mice in the intraperitoneal studies showed signs of general lethargy, lassitude, close huddling, lack of response to tactile stimuli and no increase in respiration rate and hyperactivity with death occurring between 6 and 72 hours. ",,,184,ld50 mg/kg,yes,death occured between 6 and 72 hours. ,,,,,,,,,,,,,,,mouse/cd-1,,,,f,,,,,,,,,,,,,,,intraperitoneal,,,,,,,,,1982,,no,,,4,"miller et al. glp: not reported, oecd: not comparable",
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"mice in the intraperitoneal studies showed signs of general lethargy, lassitude, close huddling, lack of response to tactile stimuli and no increase in respiration rate and hyperactivity with death occurring between 6 and 72 hours. ",,,1090,ld50 mg/kg,yes,death occured between 6 and 72 hours. ,,,,,,,,,,,,,,,mouse /ddy,,,,m,,,,,,,,,,,,,,,intraperitoneal,,,,,,,,,1992,,no,,,5,"kanetoshi et al. glp: not reported, oecd: no comparable guidelines",
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"showed signs of mydriasis, dyspnoea, and ventral decubitus, with recovery by 24 to 48 h after dosing.",,,29,ld50 mg/kg,,,,,,,,,,,,,,,,,rat/wistar cef,,,,,,,,,"10, 20, 30",mg/kg,,,,,,,,,intravenous,,,,triethyleneglycol/water ,1-Feb,,,,1968,,no,,,3,"walther, 1968b; predates glp and oecd",
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,,,3750 --> 5000,ld50 mg/kg,,,"triclosan is not acutely toxic via the oral route of administration, with high oral intubation ld50",,,,,,,,,,,,,,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1989,,no,,,1,desalva et al. glp and oecd status not reported but some studies likely predate glp and oecd ,
triclosan,non OECD,in vivo ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,,,> 9300,ld50 mg/kg,,,the data indicate that triclosan is not acutely toxic via the dermal route of administration. ,,,,,,,,,,,,,,rabbit,,,,,,,,,,,,,dermal,,,,,,,,,,,,,,"The dermal LD50 value for triclosan was reported to be greater than the high dose of 9,300 mg/kg bw tested in rabbits. These data indicate that triclosan is not acutely toxic via the dermal route of administration. ",1989,,no,,,1,"desalva et al. 1989,  glp and oecd status not reported but some studies likely predate glp and oecd ",
