dossier,guideline,type of study,pdf link,Endpoints: Observations: clinical examiniation in males,Endpoints: Observations: gross pathology in males,Endpoints: Observations: microscopic pathology in males,Endpoints: Observations: clinical examiniation in females,Endpoints: Observations: gross pathology in females,Endpoints: Observations: microscopic pathology in females,Endpoints: LD50 (mg/kg),Endpoints: 95% confidence interval ,Endpoints: LD50 male (mg/kg),Endpoints: LD50 female (mg/kg),Endpoints: moribund or dead male animals prior to study termination,Endpoints: mortality rate in males,Endpoints: moribund or dead female animals prior to study termination,Endpoints: mortality rate in females,Endpoints: conclusion,Test method: Test substance: pH and adjustment,Test method: Test substance: physical form ,Test method: Test substance: concentration (%),Test method: Test substance: composition,Test method: Test substance: purity (%),Test method: Test substance: solubility in vehicle,Test method: Test substance: chemical batch nr,Test method: Test substance: additional info,"Test method: Test animals: Species: rodent/strain ( rat, mouse, …)","Test method: Test animals: Species: non-rodent/strain ( dog, rabbit, primate, …)",Test method: Test animals: source,Test method: Test animals: Age: age value at start of experiment ,"Test method: Test animals: Age: age unit ( days, weeks, months, years)",Test method: Test animals: Weight: male mean weight value ,Test method: Test animals: Weight: female mean weight value ,"Test method: Test animals: Weight: mean weight unit (g, kg)",Test method: Test animals: sex,Test method: Test animals: housing and feeding,Test method: Test animals: n animals / group,Test method: Test condition: dose levels value,Test method: Test condition: dose levels unity,Test method: Test condition: dose volume (ml/g),Test method: Test condition: administration scheme,"Test method: Test condition: Oral administration: gavage, intubation cannula, stomach tube",Test method: Test condition: Vehicle: name,Test method: Test condition: Vehicle: concentration,Test method: Test condition: observation period  ,Test method: Test condition: recovery period (d),Reliability: SCCS comment to test,Reliability: year,Reliability: control groups,Reliability: GLP,Reliability: limit test,Reliability: preliminary study,Reliability: klimisch score,Reliability: ref. in dossier,additional information,own comments
phenoxyethanol,OECD 401,in vivo ,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,"all male animals dosed with 681 mg/kg bw survived the 14-day observation period. all males survived a treatment of 1470 mg/kg bw. clinical signs included dyspnoea, apathy, abnormal posture, staggering, atony, deficiency in pain and cornea reflex, coma-like state, spastic gait, rough fur, exsiccosis, exophthalmoses, and general poor condition.",,,"all female animals dosed with 681 mg/kg bw survived the 14-day observation period.  clinical signs included dyspnoea, apathy, abnormal posture, staggering, atony, deficiency in pain and cornea reflex, coma-like state, spastic gait, rough fur, exsiccosis, exophthalmoses, and general poor condition. generally females were more susceptible to 2- phenoxyethanol than males.",animals that died during the study course revealed the following signs at necropsy: hyperaemic congestion; lungs which were slightly inflated; sporadically reddened glandular stomach.,,2740,,4070,1840,yes," in all treatment groups, the latest time point where death occurred was observation day 1. at a dose level of 3160 mg/kg bw, 2 males died. at the highest dose level 3 males died. ",yes,"in all treatment groups, the latest time point where death occurred was observation day 1. 2 out of 5 female rats died at 1470 mg/kg bw, at a dose level of 3160 mg/kg bw, 4 females died. at the highest dose level all females died.",,,,,,80,,82/135,,rat/wistar,,,,,,,,f & m,,10,"681, 1470, 3160, 5000",mg/kg bw,,single ,gavage,carboxymethylcellulose,0.5,14,,"although this study was not conducted under glp and the concentration of the test substance was reported as ca. 80%, the study is considered sufficiently reliable for evaluation of the endpoint of acute oral toxicity.",1982,,no,,,1,1," two other acute oral toxicity studies in rats and rabbits, which dated from 1980 and were poorly documented, resulted in LD-50 values of 1- 2 g/kg bw.",
β-arbutin,OECD 401,in vivo ,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_169.pdf,"liver changes associated with the test substance were observed at 4149 mg/kg bw in mice and at 9641 mg/kg bw in rats, though not at lower dosage levels. few toxic signs were observed in either species at dosage levels up to 3513 mg/kg bw.",,,"the animals were checked daily for mortality and clinical signs. body weights were recorded on days 1 to 5, 7, 8, 11 and 15. liver changes associated with the test substance were observed at 4149 mg/kg bw in mice and at 9641 mg/kg bw in rats, though not at lower dosage levels. few toxic signs were observed in either species at dosage levels up to 3513 mg/kg bw.",,,8715; 9804,,,,yes,"in rats at 1792 (mg/kg bw) :0/5, 2509 (mg/kg bw) :0/5, 3513 (mg/kg bw): 0/5, 4919 (mg/kg bw): 0/5, 6886 (mg/kg bw): 2/5, 9641 (mg/kg bw): 3/5, 13496 (mg/kg bw): 4/5, 18895 (mg/kg bw): 5/5; in mice: 1792 (mg/kg bw) :0/5, 2509 (mg/kg bw) :0/5, 3513 (mg/kg bw): 0/5, 4919 (mg/kg bw): 1/5, 6886 (mg/kg bw): 1/5, 9641 (mg/kg bw): 1/5, 13496 (mg/kg bw): 3/5, 18895 (mg/kg bw): 5/5",yes,"in rats at 1792 (mg/kg bw) :0/5, 2509 (mg/kg bw) :0/5, 3513 (mg/kg bw): 0/5, 4919 (mg/kg bw): 0/5, 6886 (mg/kg bw): 1/5, 9641 (mg/kg bw): 3/5, 13496 (mg/kg bw): 4/5, 18895 (mg/kg bw): 5/5; in mice 1792 (mg/kg bw) :0/5, 2509 (mg/kg bw) :0/5, 3513 (mg/kg bw): 0/5, 4919 (mg/kg bw): 0/5, 6886 (mg/kg bw): * 1/4, 9641 (mg/kg bw): 3/5, 13496 (mg/kg bw): 3/5, 18895 (mg/kg bw): 5/5. * one of the five 6886 mg/kg bw female mice died by gavage accident",low level of acute oral toxicity in both rat and mouse,,,,,99.7,,lot A,,rat/sprague dawley; mouse/icr,,,,,,,,f & m,,10,"1792, 2509, 3513, 4919, 6886, 9641, 13496, 18895", mg/kg bw,,single ,gavage,,,14,,,1985,,no,,,1,1,2 species,
methylimidazoliumpropyl p-phenylenediamine HCl ,OECD 401,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_231.pdf,"animals were observed at least daily for clinical signs and twice daily for mortality. body weights were recorded on day 1 just before treatment and on days 5 and 8. animals found dead or killed prematurely and all surviving animals killed at the end of the study were subjected to macroscopic examination. organs showing gross anomalies were sampled and preserved, but no histopathological examination was performed. neither mortality nor clinical signs were observed during the study.",, microscopic examination of the main organs of the animals revealed no apparent abnormalities.,"animals were observed at least daily for clinical signs and twice daily for mortality. body weights were recorded on day 1 just before treatment and on days 5 and 8. animals found dead or killed prematurely and all surviving animals killed at the end of the study were subjected to macroscopic examination. organs showing gross anomalies were sampled and preserved, but no histopathological examination was performed. neither mortality nor clinical signs were observed during the study.",, microscopic examination of the main organs of the animals revealed no apparent abnormalities.,> 500,,,,no,,no,,"under the conditions of this study, no clinical signs and no deaths were observed after a single oral administration of methylimidazoliumpropyl p-phenylenediamine, Cl, 2HCl (A166) at the dose level of 500 mg/kg in rats.",,,,,,,rf006,test substance: c16778,rat/sprague-dawley,,,,,,,,f &m ,fasted overnight,6,500,mg/kg,10,single,gavage,purified water,,8,,"animals were observed until day 8 instead of for 14 days, but since no mortality was registered, it can be deduced that the oral LD50 is higher than 500 mg/kg b.w",1997,,yes,,,1,de jouffrey ,,
hc yellow n° 4,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,"during the observation period of 14 days, a record was kept for mortalities and signs of toxicity. body weights were recorded on day 0 and day 14 for the surviving animals. all rats that died were investigated macroscopically to identify organ changes in the skull, thorax and abdomen and surviving animals were similarly examined at the end of the 14- day post-observation.",,,"during the observation period of 14 days, a record was kept for mortalities and signs of toxicity. body weights were recorded on day 0 and day 14 for the surviving animals. all rats that died were investigated macroscopically to identify organ changes in the skull, thorax and abdomen and surviving animals were similarly examined at the end of the 14- day post-observation.",,,> 5000,,,,no,,no,,no mortalities occurred at the dose of 5 g/kg bw. yellow colorations of the skin and mucosae were observed until the fourth day after administration of the tested dose. no other signs of reaction to treatment were observed.,,,50,aqueous suspension,,,,,rat /bor: wisw spf tno,,,,,193-209 , 155-193,g,f&m,starved 16h before treatment,10,5000, mg/kg bw,,,intubation,distilled water,,14,,,1985,,no,,"hc yellow n°4 was prepared as a 50 % suspension in distilled water and administered by oral intubation at the doses of 1, 2.5 and 5 g/kg bw in range finding test (2 males per dose). as no mortalities occurred at these doses, 5 g/kg bw was chosen for the primary test (5 males and 5 females). ",3,2,,
hc yellow n° 13,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_044.pdf,"the animals were observed daily for 14 days for clinical abnormalities and mortality. body weights and macroscopic observations were recorded. treatment caused lethargy, piloerection, abnormal posture and reduced righting reflex for up to 6 hours after dosing. ",,,"the animals were observed daily for 14 days for clinical abnormalities and mortality. body weights and macroscopic observations were recorded. treatment caused lethargy, piloerection, abnormal posture and reduced righting reflex for up to 6 hours after dosing. ",,,> 2000,,,,no,,no,,LD50 was greater than 2000 mg/kg bw,,,,fluorgelb 2 in 2% gum grabic,99.7,,AR 902,,rat/wistar crl: (wi)br,,,,,,,,f & m,,10,2000,mg/kg bw ,10,single dose,,gum Arabic,2,14,,,1990,,yes,,,1,16,,
hydroxypropyl bis(n-hydroxyethyl-p-phenylenediamine) HCl,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_011.pdf,"the animals were observed daily for 14 days. bodyweights were recorded weekly and macroscopic abnormalities were recorded at autopsy. body weight gain of surviving animals was comparable to historical control data. the study authors concluded a LD50 of 2186 (1797 – 2965) mg/kg bw, with comparable toxicity in the males. clinical signs were reported in some animals of all dose groups from 30 minutes after dosing, and included: hypoactivity, sedation, piloerection and dyspnoea.  lateral decubitis was observed in one male animal. recovery was complete by day 5 for the males.",there were no macroscopic abnormalities at autopsy or in the animals found dead during the study. ,no histological examinations were performed,"the animals were observed daily for 14 days. bodyweights were recorded weekly and macroscopic abnormalities were recorded at autopsy. no histological examinations were performed.body weight gain of surviving animals was comparable to historical control data. the study authors concluded a LD50 of 2186 (1797 – 2965) mg/kg bw, with comparable toxicity in the males. clinical signs were reported in some animals of all dose groups from 30 minutes after dosing, and included: hypoactivity, sedation, piloerection and dyspnoea. recovery was complete by day 7 for the females. ",there were no macroscopic abnormalities at autopsy or in the animals found dead during the study. ,no histological examinations were performed,2186,1797 – 2965,,,yes,"at 2000 mg/kg bw, the mortality was 60% (3/5).  all deaths occurred within 30 minutes of dosing, except for one male (day 3). ",yes,"no mortalities were reported in the 1100 and 1600 mg/kg dose groups. at 2000 mg/kg bw, the mortality was 40% (2/5). four of the five females died after the dose of 2600 mg/kg bw.  all deaths occurred within 30 minutes of dosing, except for one female dosed at 2000 mg/kg bw (day 3). ",a121 was found to be moderately toxic to non-toxic via the oral route.,,,,,99.8,,Pil.4X,test substance: imexine oax in aqueous solution ,rat/sprague-dawley,,,,,,,,f & m,,10,"1100, 1600, 2000, 2600;  2000 ",mg/kg bw in females; in males,10,,gavage,,,14,,,,,yes,groups of 5 male and 5 female rats received a single dose of test substance by gastric gavage at 2000 mg/kg bw in a limit test,,1,1,,
"2,5,6-triamino-4-pyrimidinol sulfate",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_185.pdf,no clinical signs of toxicity were observed. the body-weight gain was not affected adversely during the study period,the macroscopic examination at terminal necropsy revealed no organ alterations,,no clinical signs of toxicity were observed. the body-weight gain was not affected adversely during the study period,the macroscopic examination at terminal necropsy revealed no organ alterations,,>2000,,,,no,,no,,the LD50 of the test substance administered to rats by the oral route was >2000 mg/kg bw,,,,test substance homogenised in the vehicle ,,,,"test substance: 4-OH-2,5,6-triamino-pyrimidine sulphate",rat/hanIbm: wist,,,,, 205-214,171-179,g,f & m,,10,2000,mg/kg bw ,,single,gavage,corn oil,,14,,,,,yes,,,1,1 (submission 1),guideline: oecd & eec 84/449/eec part b.1 ,
hc yellow n° 7,OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_032.pdf,"during the observation period of 14 days, a record was kept for mortalities and signs of toxicity. body weights were recorded on day 1 and then on days 8 and 15 for the surviving animals. surviving animals showed piloerection on day 1 or until day 3 (together with dyspnea and reduce activity for the latter rat). no mortalities and no clinical signs were observed at 50 mg/kg bw. no effect on the body weight was recorded in the surviving rats given 500 mg/kg bw. at 50 mg/kg bw, a reduced body weight gain was noted in 1/5 females during the first week of the study and in 1/5 females during the second week of the study when compared to historical control animals. ","all rats that died were investigated macroscopically to identify organ changes in the skull, thorax and abdomen and surviving animals were similarly examined at the end of the 14-day post-observation. at necropsy, no apparent abnormalities were observed in any animal.  ",,,,,500,,,,no,,yes,"at 500 mg/kg bw, 3 of the 5 female rats died on day 2. piloerection and orange-colored extremities were observed prior to death.",moderately toxic following a single oral administration. the results of the test indicated that the maximal non-lethal oral dose was 50 mg/kg in female rats and the minimal lethal dose was 500 mg/kg bw. 500 mg/kg bw is considered close to the median lethal dose (LD50).  ,,solid,,,97.3,,0509831,,rat/sprague-dawley,,,,,,,,f,,5,"50, 500 ",mg/kg bw,10,single,intubation,carboxymethylcellulose,0.5,14,,,2005,,yes,"one female was given 500 mg/kg preceded the definitive test. hypoactivity, dyspnea and piloerection were observed from day 1 to day 3 in the animal given 500 mg/kg bw. ",,1,1,,
"2,6-dihydroxyethylaminotoluene",OECD 401,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf,they were observed for 14 days after the day of dosing and were then killed for gross pathological examination. there were no mortalities and all animals showed the expected gain in bodyweight during the study. hunched posture and lethargy were noted in all animals on the day of dosing. ,no abnormalities were noted at necropsy.,,they were observed for 14 days after the day of dosing and were then killed for gross pathological examination. there were no mortalities and all animals showed the expected gain in bodyweight during the study. hunched posture and lethargy were noted in all animals on the day of dosing. ,no abnormalities were noted at necropsy.,,>2000,,,,no,,no,,LD50 of the test compound was found to be greater than 2000 mg/kg bw in rats.,,solution,,test material as a suspension in distilled water,,,#2,test substance: a 138 ,rat/sprague-dawley,,,,,140-152 ,129-140 ,g,f & m,,10,2000,mg/kg bw,,single,gavage,,,14,,,,,yes,,,1,1 (submission 1),"a limit test. the method used followed oecd guideline n° 401 (1981), referenced as method b1 in commission cirective 84/449/eec. ",
2-amino-4-hydroxyethylaminoanisole sulfate,OECD 401,in vivo ,https://ec.europa.eu/health//sites/health/files/scientific_committees/consumer_safety/opinions/sccs_o_003.pdf,"mortality and clinical signs were checked daily for the 14-day observation period. the test substance caused dose related clinical signs to CNS, coordination, reflexes and autonomic functions increasing in severity up to 72 hours after dosing. weight gains were reduced in all surviving animals. ",,,"mortality and clinical signs were checked daily for the 14-day observation period. the test substance caused dose related clinical signs to CNS, coordination, reflexes and autonomic functions increasing in severity up to 72 hours after dosing. weight gains were reduced in all surviving animals. ",,,327,,333,351,yes,"animals died within 24-72 hours after dosing. Dose (mg/kg bw): number of dead animals, 125: 1/5, 250: 2/5, 500: 4/5, 750: 3/5, 1000: 5/5. ",yes,"animals died within 24-72 hours after dosing. mortality in mice after a single oral application; dose mg/kg bx): number of dead animals, 125: 1/5, 250: 1/5, 500: 3/5, 750: 5/5, 1000: 4/5.",lehmannblausulphat under the conditions of this study showed an LD50 of 327 mg/kg bw.,,,1.25 – 10,test substance diluted in deionized water ,,,,test substance: lehmannblausulphat,mouse/ bor: nmri white ,,,,,,,,f & m,,10,"125, 250, 500, 750,1000 ",mg/kg,,single,gavage,deionised water,,14,,the studies are not up to modern standards but the results give an indication of the LD50 in mice.,,,yes,,a preliminary range finding test with 2 female mice of 2000 mg/kg bw indicated that the median lethal dose was less than 2000 mg/kg bw as both died within 24 hours. ,2,16,,
