$startl$,dossier,guideline,PDF link ,study: Acute toxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,,,,In vivo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,,,,non OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OECD 401 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OECD 402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OECD 403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,,,,Endpoints ,,,,,,,,grading of lesion,,Test method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reliability,,,,,,,,additional information,own comments,,Endpoints,,,,,,,,,,,,,,,Test method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reliability,,,,,,,additional information,own comments,,Endpoints,,,,,,,,,,,Test method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reliability,,,,,,additional information,own comments,,Endpoints,,,,,,,,,,,,Test method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reliability,,,,,,,additional information,own comments,$endl$
$startl$,,,,target organ at necroscopy,observations and recording,dose descriptor ,dose descriptor unit,moribund or dead animals prior to study termination ,mortality rate,conclusion,,,,test substance ,,,,,,,,,,,,test species in in vivo study,,,,,,,,,,test conditions acute txicity,,,,,,,,,,,,,,,,,,,SCCS comment to test,year,control groups,GLP,preliminary test,Klimisch score,Ref. in dossier,,,,,Observations ,,,,,,LD50 (mg/kg),95% confidence interval ,LD50 male (mg/kg),LD50 female (mg/kg),moribound or dead  male animals prior to study termination,mortality rate in males,moribound or dead  female animals prior to study termination,mortality rate in females,conclusion,,Test substance,,,,,,,,,Experimental animals,,,,,,,,,,,,Test conditions,,,,,,,,,SCCS comment to test,year,control groups,GLP,limit test,klimisch score,ref. in dossier,,,,Observations ,,,LD50 (mg/kg),95% confidence interval ,LD50 male (mg/kg),LD50 female (mg/kg),moribound or dead animals prior to study termination,mortality rate ,conclusion,,Test substance,,,,,,,,,Experimental animals,,,,,,,,,,,,Test conditions,,,,,,,,,SCCS comment to test,year,control groups,GLP,klimisch score,ref. in dossier,,,,Observations ,,,LC50 ,LC50  unit ,95% confidence interval ,LC50 male,LC50 female,moribound or dead animals prior to study termination,mortality rate ,conclusion,,Test substance,,,,,,,,,,,Experimental animals,,,,,,,,,,,Test conditions,,,,,,,,,,,,,,,SCCS comment to test,year,control groups,GLP,limit test ,klimisch score,ref. in dossier,,,$endl$
$startl$,,,,,,,,,,,,,,homogeneity and stability,treatment prior to application,pH,"physical form (solid, liquid, aerosol, dust)",concentration (% nominal and actual),composition,purity (%),solubility in vehicle,chemical batch nr,particle size ,additional info,,species/strain,source,age at start of experiment ,"age measuring unit (day, week, month, year)","sex (female, male)",weight,"weight measuring unit (gram, kilogram)",feed,n animals / dose,,dose levels,dose level unit ( or extra info),administration scheme,route of exposure,,,,,,,,dose volume ml/kg bw,rinsing procedure,use of anaesthetics and analgesics,vehicle name,vehicle concentration %,exposure time (hour),observation period (day),,,,,,,,,,,,,clinical examiniation in males,gross pathology in males,microscopic pathology in males,clinical examiniation in females,gross pathology  in females,microscopic pathology in females,,,,,,,,,,,pH and adjustment,physical form ,concentration (%),composition,purity (%),solubility in vehicle,chemical batch nr,additional info,,Species,,source,Age,,Weight,,,sex,housing and feeding,n animals / group,,dose levels value,dose levels unity,dose volume (ml/g),administration scheme,Route of exposure,Vehicle,,observation period  + recovery period (day),,,,,,,,,,,,clinical examiniation ,gross pathology ,microscopic pathology ,,,,,,,,,pH and adjustment,physical form ,concentration (%),composition,purity (%),solubility in vehicle,chemical batch nr,additional info,,Species,,source,Age,,Weight,,,sex,housing and feeding,n animals / group,,dose levels value,dose levels unity,dose volume (ml/g),Dermal exposure,,Vehicle,,observation period,,,,,,,,,,,clinical examiniation ,gross pathology ,microscopic pathology ,,,,,,,,,,pH and adjustment,physical form ,treatment prior to use,"particle size, distribution, shape and density",concentration (%),composition,purity (%),solubility in vehicle,chemical batch nr,additional info,,species/strain,source,Age,,Weight,,,sex,housing and feeding,n animals / group,,nominal dose levels value,nominal dose levels unity,actual dose levels value,actual dose levels unit,Inhalation exposure,,,,,exposure time (hour),observation period (day),Equipment measuring ,,,,,,,,,,,,,$endl$
$startl$,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"oral (gavage, drink water, feed)",dermal,body surface area,"patching technique ( open, semi-occluded, occluded)",skin condition,"inhalation (nose (head) -only, whole body)",occular,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rodent/strain ( rat, mouse, …)","non-rodent/strain ( dog, rabbit, primate, …)",,age value at start of experiment ,"age unit ( days, weeks, months, years)",male mean weight value ,female mean weight value ,"mean weght unit (g, kg)",,,,,,,,,"oral ( gavage, intubation cannula, stomach tube)",vehicle name,vehicle concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rodent/strain ( rat, mouse, …)","non-rodent/strain ( dog, rabbit, primate, …)",,age value at start of experiment ,"age unit ( days, weeks, months, years)",male mean weight value ,female mean weight value ,"mean weght unit (g, kg)",,,,,,,,body surface,"patching technique ( occluded, semi-occluded)",vehicle name,vehicle concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,age value at start of experiment ,"age unit ( days, weeks, months, years)",male mean weight value ,female mean weight value ,"mean weght unit (g, kg)",,,,,,,,,Exposure apparatus,,,,air flow rate,,,humidity,temperature,particle size and concentration,,,,,,,,,,,$endl$
$startl$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,design ,type,dimension,source of air,,,,,,,,,,,,,,,,,$endl$
$startl$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,DATA TYPE:,OECD XXX/non OECD,DATA TYPE:,text or tabulated data (as images),txt,number,txt,yes/no,txt,text,,txt,,text,,numbers,txt,numbers/txt,text,txt,text,number/txt,txt,text,,text,text,number,txt,text,number,txt,text,text/number,,numbers,txt,text/number,yes/no (list),yes/no,text,text,text,yes/no ( list),yes/no,,numbers,txt,txt,text,number,txt,number,,text,number,txt,yes/no,txt,number,txt,,text,text,,txt,txt,txt,txt,txt,txt,num,num,num,num,yes/no,txt,yes/no,txt,txt,,txt,"from {solid,liquid}",,txt,num,,txt,txt,,txt,txt,txt,num,"from {days, weeks, months, years}",num,,"from {g,kg}","from {f, m, f&m}",txt,num,,num,txt,num,"from {single dose, fractions over 24h}","from {gavage, intubation cannula, stomach tube}",txt,num,num,,txt,num,txt,yes/no,txt,num,txt,txt,txt,,txt,txt,txt,num,num,num,num,yes/no,txt,txt,,txt,"from {solid,liquid}",,txt,num,,txt,txt,,txt,txt,txt,num,"from {days, weeks, months, years}",num,num,"from {g,kg}","from {f, m, f&m}",txt,num,,num,txt,num,num,"from{occluded, semi-occluded}",txt,num,,,,,,,,,,,,txt,txt,txt,num,"from {mg/l, ppm}",,num,num,yes/no,txt,txt,,txt,"from {volatile, aerosol/particulate, nano-material}",txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,"1,2,4-trihydroxybenzene ",non OECD,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_113.pdf,,"based on the observed mortality rates, the LD50 figure was calculated using three methods (probit method, litchfield & wilcoxon´s method, arcsinus method). ",350 - 500,"LD50, between the mentioned numbers in mg/kg bw",yes,death occurred within 24 hours after substance administration,,,,,,,,,1,test substance in  the vehicle,,,,,,,rat/ofa(sprague-dawley derived),,,,f & m,,,,10,,"100, 250, 350, 500, 1000 ",mg/kg bw,,"yes,gavage",,,,,,,,,,,carboxymethylcellulose/water,,,14,,"the description of the procedure was very short. it was not possible to compare the method used with OECD 401. there was no information on the batch that was tested, the study was not carried out according to glp, and no data were presented on the development of the body weights. additionally, the study protocol did not include a necropsy. however, the outcome of this study adds some information on the toxicity of the compound",,,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,"1,2,4-trihydroxybenzene ",OECD 402,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_113.pdf,,"from day 2 after removal of the dressings, hypoactivity, piloerection and dyspnea were observed in all females until day 8. 1 of 5 females showed tremors. the overall body weight gain of 9/10 animals was similar to the historical control animals, one female showed a slightly reduced body weight gain during the second week of the study. a black coloration of the skin was noted in all animals from day 2 until day 15 (end of study). an erythema was observed in 2/5 males on day 2 and persisted in one of them on day 3. an oedema was recorded between day 2 and day 5 in 2/5 males and all females between day 2 and day 6. no apparent abnormalities were noted at necropsy in any animal. ",,,no,,"the maximal non-lethal dose of 1,2,4-trihydroxybenzene was 2000 mg/kg bw by dermal route in rats. ",,,,,,,,1,test subtance in carboxymethylcellulose/water,98.1,,506382,,,,rat/sprague-dawley,,,,f & m,,,,10,,2000, mg/kg bw,single ,,yes,,semi-occluded,,,,,,,,,,24,14,,,,,yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,phenoxyethanol,OECD 401,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"all male animals dosed with 681 mg/kg bw survived the 14-day observation period. all males survived a treatment of 1470 mg/kg bw. clinical signs included dyspnoea, apathy, abnormal posture, staggering, atony, deficiency in pain and cornea reflex, coma-like state, spastic gait, rough fur, exsiccosis, exophthalmoses, and general poor condition.",,,"all female animals dosed with 681 mg/kg bw survived the 14-day observation period.  clinical signs included dyspnoea, apathy, abnormal posture, staggering, atony, deficiency in pain and cornea reflex, coma-like state, spastic gait, rough fur, exsiccosis, exophthalmoses, and general poor condition. generally females were more susceptible to 2- phenoxyethanol than males.",animals that died during the study course revealed the following signs at necropsy: hyperaemic congestion; lungs which were slightly inflated; sporadically reddened glandular stomach.,,2740,,4070,1840,yes," in all treatment groups, the latest time point where death occurred was observation day 1. at a dose level of 3160 mg/kg bw, 2 males died. at the highest dose level 3 males died. ",yes," in all treatment groups, the latest time point where death occurred was observation day 1. 2 out of 5 female rats died at 1470 mg/kg bw, at a dose level of 3160 mg/kg bw, 4 females died. at the highest dose level all females died.",,,,,,,80,,82/135,,,rat/wistar,,,,,,,,f & m,,10,,"681, 1470, 3160, 5000",mg/kg bw,,single ,gavage,carboxymethylcellulose,0.5,14,,"although this study was not conducted under GLP and the concentration of the test substance was reported as ca. 80%, the study is considered sufficiently reliable for evaluation of the endpoint of acute oral toxicity.",1982,,no,,2,1," two other acute oral toxicity studies in rats and rabbits, which dated from 1980 and were poorly documented, resulted in LD-50 values of 1- 2 g/kg bw.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
$startl$,phenoxyethanol,non OECD,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,,"gross necropsy revealed no gross pathological findings in any of the major organs evaluated including heart, lungs, brain, gastrointestinal tract, liver, and spleen. local erythema at the site of application was observed in two rabbits and was reversible within 3 days after dosing. desquamation was observed at the site of application in one rabbit from days 3-14 after dosing. ",>2214,"LD50, mg/kg bw",no,"3 out of 5 female rats died at 1470 mg/kg bw, at a dose level of 3160 mg/kg bw, 2 males and 4 females died, respectively. at the highest dose level 3 males and all females died.",sufficiently reliable for evaluation of the endpoint of acute dermal toxicity although the study wasn't conducted under glp and the test substance purity was not reported,,,,,,,,,,,,2219-93,,test substance: emeressence 1160 (2-phenoxyethanol),,rabbit/new zealand white,,,,f & m,,,,4,,2214,mg/kg bw,single,,yes,dorsal ,occluded,damaged,,,,2,,,undiluted,,24,14,,"lack of any gross pathological alterations or lesions is reported in all standard organs following dermal application, however, these were not investigated in the kidney.",1980,,no,,,2,,guideline: pre-OECD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$endl$
