Dossier,guideline,type of study,PDF link,OECD_451_453_observations,OECD_451_453_non-neoplastic findings (organ),OECD_451_453_neoplastiv findings (organ),OECD_451_453_moribound or dead animals prior to study termination,OECD_451_453_conclusion,OECD_451_453_homogeneity,OECD_451_453_pH,OECD_451_453_concentration (%),OECD_451_453_composition,OECD_451_453_purity (%),OECD_451_453_solubility in vehicle,OECD_451_453_chemical batch nr,OECD_451_453_additional info,OECD_451_453_species/strain,OECD_451_453_source,OECD_451_453_age at start of experiment,OECD_451_453_sex,OECD_451_453_feed,OECD_451_453_n animals / group,OECD_451_453_dose levels,OECD_451_453_administration scheme,OECD_451_453_oral,OECD_451_453_% of body surface,OECD_451_453_area of body,OECD_451_453_inhalation,OECD_451_453_vehicle,OECD_451_453_observation period,OECD_451_453_control and recovery group ( satelite group),OECD_451_453_Study duration,OECD_451_453_SCCS comment to test,OECD_451_453_year,OECD_451_453_GLP,OECD_451_453_Ref. in dossier,OECD_451_453_additional info,OECD_451_453_own comment,Non-OCED_observations,Non-OECD_non-neoplastic findings (organ),Non-OCED_neoplastic findings (organ),Non-OCED_ or dead animals prior to study termination,Non-OCED_conclusion,Non-OCED_homogeneity,Non-OCED_pH,Non-OCED_concentration (%),Non-OCED_composition,Non-OCED_purity (%),Non-OCED_solubility in vehicle,Non-OCED_chemical batch nr,Non-OCED_additional info,Non-OCED_species/strain,Non-OCED_source,Non-OCED_age at start of experiment,Non-OCED_sex,Non-OCED_feed,Non-OCED_n animals / group,Non-OCED_dose levels,Non-OCED_administration scheme,Non-OCED_oral,Non-OCED_% of body surface,Non-OCED_area of body,Non-OCED_inhalation,Non-OCED_vehicle,Non-OCED_observation period,Non-OCED_Study duration,Non-OCED_SCCS comment to test,Non-OCED_year,Non-OCED_GLP,Non-OCED_preliminary study,Non-OCED_control group,Non-OCED_Ref. in dossier,Non-OCED_additional info,Non-OCED_own comment,complimentary comments
β-arbutin,national official protocol (Japan) ,in vivo,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_169.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no significant differences between control and treated animals,"stomach, heart,spleen, brain thalamus, adrenal gland, ovary cysts, uterus and joint","liver, lung, haematopoietic system",yes/no,the NOEL value for β-arbutin is estimated to be 400 mg/kg bw/day. The test substance is not carcinogenic under the conditions of the performed study,,,,,100,,Lot TDD-422,,mice/crj:cd1,,,male and female,,100,"0, 45, 135, 400 mg/kg bw/day of β-arbutin",6 days/week,6 days/week,,≈2*2cm,interscapular skin,50% ethanol solution in water,18 months (78 weeks),,No conclusion with regard to carcinogenicity can be drawn from this study,1993/1994,"yes, but not included in submission",,,14,,,
phenoxyethanol,OECD 451,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,"growth rates suppresed in females at all doses and in males only at highest dose, a statistically significant decrease in terminal body weight in the high-dose groups.a decrease in food and water consumption. soiled fur around the genitalia in males at 10,000ppm and in females at all doses. ","kindey, urinary tract in in males",,,"no evidence of carcinogenicity, no clear treatment-related haematological effects, the kidnet is a target organ in males, histopathology of liver was unremarkable, NOAEL=249 mg/kg/day",,,,,99.8-99.9,,PKF5373,,rat/F344/DuCrlCrlj,,,,,100,"0, 2500, 5000, and 10000 ppm( 124, 249, and 510 mg/kg/day in males and 191, 380, and 795 mg/kg/day in females)",daily,drinking water,,,,water,,,104 weeks,,2007,yes,"subm II, ref. 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenoxyethanol,OECD 451,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,"grow rates suppressed in both sexes at 10,000ppm and above in a dose-related manner, terminal body weights decreased in all doses, food consumtion decresed, water consumption decresed dose-dependently, plasma chemistry analysis showed an increase in ALP in females at 20,000ppm, decrese in choleterol and phospholipids in males at 10,000 and 20,000ppm. a dose-dependent diminution of triglycerides and ALT at 20,000ppm in both sexes, LDH decresed in females in a dose-related manner. urine pH low in both sexes at 10,000 and 20,000 ppm due to the excretion of the major metabolite 2-phenoxyacetic acid.",,,,"no evidence of carcinogenicity, no treatment-related histopathological findings, some treatment-related changes in liver chemistry without any histopathological changes in liver. therefore the NOAEL is 468 mg/kg/day in males and 586 in females",,,,,≥ 99.8,,"PKM4201, PKF5373",,mouse/B6D2F1/Crlj,,,,,100,"0, 5000, 10000 and 20000 ppm (468, 898, and 1701 mg/kg/day in males and 586, 1072, and 2058 mg/kg/day in females)",daily,drinking water,,,,water,,,105 weeks,,2007,yes,"subm II, ref. 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"more weight loss was observed in high- and lowdose females and in high-dose males than in controls; survival was comparable in treated and control animals of each sex. hydronephrosis was detected in 8/44 (18%) high-dose males and 12/50 (24%) high-dose females, and animals of each sex had increased incidences of renal tumours, mostly adenocarcinomas: males — control, 0/20; low-dose (0%), 5/49 (10%); high-dose, 24/44 (55%) (p < 0.001), females — control, 0/20 (0%); low-dose, 0/39 (0%) ; high-dose, 4/50 (8%) (p = 0.041, test for linear trend).",,,,,,,,,99.5,,,commercial-grade H3NTA,mice / B6C3F1,,6 weeks,m & f,,100,"0, 752, 1504 ","oral, diet, 18 months, killed at 21 months","oral, diet, 18 months, killed at 21 months",,,,,,,The lowest dose inducing urinary tumours in mice was 752 mg/kg bw/day of H3NTA/ A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment,,,,,41,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a dose-related decrease in body weight gain was observed in mice of each sex; survival was comparable in treated and control animals. no urinary-tract tumour was observed, but there was a dose-related increase in the incidence of haematopoietic tumours in male mice: control, 0/20; low-dose, 4/47; high-dose, 9/50 (p = 0.015, test for linear trend).",,,,,,,,,99.5,,,"commercial-grade H3NTA trisodium salt, monohydrate",mice / B6C3F1,,6 weeks,m & f,,100,"0, 169, 338 ","oral, diet, 18 months, killed at 21 months","oral, diet, 18 months, killed at 21 months",,,,,,,It induced renal tubular tumours (adenomas and adenocarcinomas) in mice of each sex and haematopoietic tumours in male mice. an increase of haematopoietic tumours in male mice was in another NTP study with NTA.H2O observed with 169 mg/kg bw/day. A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment,,,,,41,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no increase in the incidence of tumours at any site was observed ,,,,,,,,,unspecified,,,Na2NTA.H2O,mice / random-bred Swiss,,8 weeks,m & f,,80,"0, 167 ","oral for 26 weeks, killed at 35-36 weeks","oral for 26 weeks, killed at 35-36 weeks",,,,drinking water,,,the short duration of the experiment should be noted/A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment,,,,,42,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a modest, dose-related decrease in body weight gain was observed; survival was comparable in treated and control animals of each sex. renal interstitial fibrosis and tubular dilatation were found frequently. increases were observed in the incidences of urinary-tract tumours, mainly tubular-cell adenomas and carcinomas, in males: control, 0/20; low-dose, 1/49; high-dose, 7/48 (p = 0.006, test for linear trend); and of transitional and squamous-cell carcinomas of the urinary bladder in females: control, 0/18; low-dose, 2/45; high-dose, 12/48 (p < 0.001, test for linear trend). increases were also seen in the incidences of phaeochromocytomas of the adrenal gland in females: control, 1/20; low-dose, 0/50; high-dose, 14/48 (p < 0.001). the incidences of liver tumours, all considered to be neoplastic nodules, were also increased in females: control, 2/15; low-dose, 8/49; high-dose, 22/49 (p = 0.001, test for linear trend)",,,,,,,,,99.5,,,commercial-grade NTA,rat / fischer 344,,6 weeks,m & f,,100,"0, 526 and 1053 ","oral, diet, for 18 months, killed at 24 months","oral, diet, for 18 months, killed at 24 months",,,,,,,"It induced benign and malignant tumours of the urinary system (kidney, ureter and bladder) in rats of each sex. In addition, it induced hepatocellular andenomas in male and adrenal phaeochromocytomas in female rats,  1/49 low-dose (526 mg/kg/bw/day) and 7/48 high-dose male rats (1053 mg/kg bw/day) developed tubular-cell adenomas carcinomas.",,,,,41,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a dose-related decrease in body weight was observed in rats of each sex; survival was comparable in treated and control animals. evidence of renal inflammation was observed in low- and high-dose male and female rats, but no increase in the incidence of neoplasms was observed.",,,,,,,,,99.5,,,commercial-grade NTA.H2O,rat / fischer 344,,6 weeks,m & f,,100,"0, 355, 724 ","oral, diet, for 18 months, killed at 24 months","oral, diet, for 18 months, killed at 24 months",,,,,,,the animals were killed at 24 months and no increase of neoplasms was observed/A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment,,,,,41,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"decreases in body weight and survival and hydronephrosis were observed in high-dose males. one papilloma of the urinary bladder was seen in a female given 92mg/kg bw/day; all other kidney and urinary-tract tumours were observed in males and females given the highest dose. tubular-cell adenomas and adenocarcinomas of the kidney were observed in 4/24 males [p = 0.004, Cochran-Armitage test]; transitional-cell carcinomas developed in the renal pelvis in 4/24 males (p = 0.003, Cochran-Armitage test) and in the ureter in 8/24 males (p < 0.001, Cochran-Armitage test); and metastases were observed in 5/24 males. tubular-cell adenomas and adenocarcinomas of the kidney developed in 4/24 females (p = 0.003, test for linear trend); transitional-cell carcinomas developed in the ureter in 6/24 females (p < 0.001, test for linear trend) and in the urinary bladder in 5/24 females (p = 0.001, test for linear trend); metastases were observed in 5/24 females.",,,,a NOAEL of 92 mg/kg bw/day was derived from the study,,,,,,,,commercial-grade NTA.H2O,rat / fischer 344,,51-55 days of age,m & f,,48,"0,9,92,921 ","oral, diet, for  104 weeks","oral, diet, for  104 weeks",,,,,,,"It induced benign and malignant tumours of the urinary system (kidney, ureter and bladder) in rats of each sex. In addition, it induced hepatocellular andenomas in male and adrenal phaeochromocytomas in female rats, tubular-cell adenomas and adenocarcinomas in the kidney was only observed at the highest dose (921 mg/kg bw/day).A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment",,,,,41,,,
trisodium nitrilotriacetate,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no difference in weight gain was observed between control and treated animals, but a higher proportion of treated rats died during the first 550 days of the study. an increase in the incidence of renal adenomas and adenocarcinomas was observed, with adenomas in 5/186 controls and 25 adenomas and 4 carcinomas in 29/183 treated animals (p < 0.01, Mantel-Haenszel test). in addition, renal tubular hyperplasia (grades III and IV) was observed 44/186 controls and 67/183 treated animals. there was no apparent difference in the frequency of severe nephritis between control and treated animals",,,yes,,,,0.1% NTA ,,,,,,rat / non-inbred sprague-dawley (350 g),,,m,,196,"0, 100 mg/kg bw/day",oral for 704 days,oral for 704 days,,,,drinking water,,,the lowest dose with treatment-related increased tumour rates in the urinary tract of Sprague-Dawly rats with NTA was 100 mg/kg bw/day in a 2-year drinking water study.A NOAEL for carcinogenicity of 92 mg/kg bw/day will be used in risk assessment,,,,,43,,,
