Name,407,Non-OECD,412,411,409,408,413,422,410
"gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]",gross pathology,"gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]","gross necropsy : liver ""Liver""[Mesh]"
histopathology: liver ,histopathology,histopathology,histopathology: liver ,histopathology: liver ,histopathology: liver ,histopathology: liver ,histopathology: liver ,histopathology: liver ,histopathology: liver 
"alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]",blood and serum biomarkers,"alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]","alanine aminotransferase ""D-Alanine Transaminase""[Mesh]"
"aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]",blood and serum biomarkers,"aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]","aspartate aminotransferase ""Alkaline Phosphatase""[Mesh]"
alkaline phosphatase,"other enzymes and bile acids ""Bile Acids and Salts""[Mesh]",blood and serum biomarkers,clinical chemistry: other,other enzymes and biomarker,other enzymes and biomarker,alkaline phosphatase,alkaline phosphatase,alkaline phosphatase,alkaline phosphatase
"gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]","gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]",blood and serum biomarkers,clinical chemistry: other,"gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]","gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]","gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]","gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]","gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]","gamma glutamyl transpeptidase ""gamma-Glutamyltransferase""[Mesh]"
"sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]","sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]",blood and serum biomarkers,clinical chemistry: other,other enzymes and biomarker,other enzymes and biomarker,"sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]",other enzymes and biomarker,"sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]",other enzymes and biomarker
"sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]","other enzymes and bile acids ""Bile Acids and Salts""[Mesh]",blood and serum biomarkers,clinical chemistry: other,other enzymes and biomarker,other enzymes and biomarker,"sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]",other enzymes and biomarker,"sorbitol dehydrogenase ""L-Iditol 2-Dehydrogenase""[Mesh]",other enzymes and biomarker
"total bilirubin ""Bilirubin""[Mesh]",serum: other,blood and serum biomarkers,clinical chemistry: other,"total bilirubin ""Bilirubin""[Mesh]","total bilirubin ""Bilirubin""[Mesh]","total bilirubin ""Bilirubin""[Mesh]","total bilirubin ""Bilirubin""[Mesh]",other enzymes and biomarker,"total bilirubin ""Bilirubin""[Mesh]"
"total cholesterol ""Cholesterol""[Mesh]","total cholesterol ""Cholesterol""[Mesh]",blood and serum biomarkers,"total cholesterol ""Cholesterol""[Mesh]",analyses of lipids,analyses of lipids,"total cholesterol ""Cholesterol""[Mesh]","total cholesterol ""Cholesterol""[Mesh]","total cholesterol ""Cholesterol""[Mesh]",other enzymes and biomarker
