Name,407,Non-OECD,412,411,409,408,413,422,410
"gross necropsy: liver","gross_necropsy_liver",gross_pathology,"gross_necropsy_liver","gross_necropsy_liver","gross_necropsy_liver","gross_necropsy_liver","gross_necropsy_liver","gross_necropsy_liver","gross_necropsy_liver"
histopathology: liver,histopathology,histopathology,histopathology_liver ,histopathology_liver ,histopathology_liver ,histopathology_liver ,histopathology_liver ,histopathology_liver ,histopathology_liver 
"alanine aminotransferase","alanine_aminotransferase",blood_serum_biomarkers,"alanine_aminotransferase","alanine_aminotransferase","alanine_aminotransferase","alanine_aminotransferase","alanine_aminotransferase","alanine_aminotransferase","alanine_aminotransferase"
"aspartate aminotransferase","aspartate_aminotransferase",blood_serum_biomarkers,"aspartate_aminotransferase","aspartate_aminotransferase","aspartate_aminotransferase","aspartate_aminotransferase","aspartate_aminotransferase","aspartate_aminotransferase","aspartate_aminotransferase"
alkaline phosphatase,"other_enzymes_and_bile_acids",blood_serum_biomarkers,clinical_chemistry_other,other_enzymes_and_biomarker,other_enzymes_and_biomarker,alkaline_phosphatase,alkaline_phosphatase,alkaline_phosphatase,alkaline_phosphatase
"gamma glutamyl transpeptidase","gamma_glutamyl_transpeptidase",blood_and_serum_biomarkers,clinical_chemistry_other,"gamma_glutamyl_transpeptidase","gamma_glutamyl_transpeptidase","gamma_glutamyl_transpeptidase","gamma_glutamyl_transpeptidase","gamma_glutamyl_transpeptidase","gamma_glutamyl_transpeptidase"
"sorbitol dehydrogenase","sorbitol_dehydrogenase",blood_serum_biomarkers,clinical_chemistry_other,other_enzymes_and_biomarker,other_enzymes_and_biomarker,"sorbitol_dehydrogenase",other_enzymes_and_biomarker,"sorbitol_dehydrogenase",other_enzymes_and_biomarker
"total bilirubin",serum_other,blood_serum_biomarkers,clinical_chemistry_other,"total_bilirubin","total_bilirubin","total_bilirubin","total_bilirubin",other_enzymes_and_biomarker,"total_bilirubin"
"total cholesterol","total_cholesterol",blood_serum_biomarkers,"total_cholesterol",analyses_of_lipids,analyses_of_lipids,"total_cholesterol","total_cholesterol","total_cholesterol",other_enzymes_and_biomarker
"fasting triglycerides","fasting_triglycerides",blood_serum_biomarkers,triglycerides,analyses_of_lipids,analyses_of_lipids,"fasting_triglycerides",triglycerides,"fasting_triglycerides",analyses_of_lipids
high-density lipoprotein (hdl),serum_other,blood_serum_biomarkers,clinical_chemistry_other,analyses_of_lipids,analyses_of_lipids,high_density_lipoprotein,lipids,serum_other,analyses_of_lipids
low-density lipoprotein (ldl),serum_other,blood_serum biomarkers,clinical_chemistry_other,analyses_of_lipids,analyses_of_lipids,low_density_lipoprotein,lipids,serum_other,analyses_of_lipids
"total protein","total protein",blood_serum_biomarkers,"total_protein","total_protein","total_protein","total_protein","total_protein","total_protein","total_protein"
"albumin","albumin",blood_serum_biomarkers,"albumin","albumin","albumin","albumin","albumin","albumin","albumin"
