dossier,guideline,PDF link,type,clinical observations,functional observations,other,haematology,"urinalysis ""Urinalysis""[Mesh]",blood and serum biomarkers,gross pathology,histopathology,critical effect,point of departure (pod),description of pod ,target organ,moribund or dead animals prior to study termination,mortality rate,conclusion,homogeneity and stability ,treatment prior to application,pH and adjustment,"physical form (solid, liquid, aerosol, dust)",concentration (%),composition,purity (%),particle size and procedure,solubility in vehicle,chemical batch nr,additional info,species/strain,source,"age at start of experiment (days, weeks, months, years)","age  unit (day, week, month, year)","sex (female, male)",feed,weight,"weight unit (gram, kilogram)",n animals / group,dose levels,dose level unit (or extra info),dose volume ml/kg bw,administration scheme,"oral ( gavage, diet, water, intubation, other)",dermal,"patching technique (open, semi-occluded, occluded)",body surface (cm2 or %),skin condition,area of body,"inhalation ( nose head - only, whole body)",other,rinsing,vehicle name ,vehicle concentration %,sampling ,observation period day ,exposure period + recovery period days,year,GLP,SCCS comment to test,Ref. in dossier,preliminary test ,control group + satellite group,klimisch score,additional information,own comments
phenoxyethanol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,in vivo,"signs of toxicity were characterised by anorexia, lethargy and excretion of dark-red urine. on day 5, mean body weights of rabbits dosed with 100, 300, or 600 mg/kg bw/day had decreased approximately 8% from their pre-exposure weights and 10-14% from that of control animals. on day 10, rabbits in the 100 and 300 mg/kg/day dose groups continued to show similar decreases in body weight.",,,"in general, rabbits exposed to 2-phenoxyethanol had decreased rbc count, hgb concentration and pcv, with concurrent increases in nucleated and poly-chromatophilic red blood cells. many animals exhibiting severe depressions in rbc numbers also showed concurrent increases in mch, mchc, platelets and wbc. the values for mch and mchc were considered elevated due to free haemoglobin in plasma","urine samples collected from rabbits in the 1000, 600 and 300 mg/kg/day dose groups exhibited decreased pH in combination with elevated levels of protein, bilirubin, urobilirubin and haemoglobin. decreases in urinary pH and increases in urinary bilirubin and rbc were observed in at least one rabbit in the 100 mg/kg/day dose group.",,"most rabbits administered 1000 or 600 mg/kg bw/day exhibited gross pathological alterations consistent with haemolytic anaemia including enlarged and dark kidneys and spleen, dark urine in the urinary bladder, and dark urine staining the perineal region. conversely, rabbits gavaged with 100 or 300 mg/kg bw did not have treatment-related gross lesions. ",treatment-related microscopic changes were observed in rabbits from all dose levels. splenic microscopic changes included red pulp congestion and erythro-phagocytosis in most animals of both high dose groups. treatment-related microscopic changes also occurred in the kidneys and stomach of both high-dose groups. the spleen of one rabbit in the 300 mg/kg/day dose group had thrombi in venous sinuses resulting in generalised splenic necrosis. this animal also had thrombi within pulmonary blood vessels. two rabbits given 100 mg/kg/day had splenic extramedullary haematopoiesis. ,,100,loael  mg/kg bw/d ,,yes,"during the 10-day treatment period, deaths occurred in all dose groups above 100 mg/kg bw/day or animals were sacrificed moribund.",,,,,,,,,,,,test substance: 2-phenoxyethanol,rabbit/new zealand white ,,,,f,,3 -4.5,kg,3,"100,300,600,1000",mg/kg bw/day ,,repeated daily adminitsration for 10 consecutive days,"yes, gavage",,,,,,,,,,,,,,,no,"in conclusion, in this study with rabbits orally exposed by gavage for 10 days, the loael is 100 mg/kg bw day. for the understanding of this opinion, it is important to note that haematotoxicity in rabbits is caused by the parent compound when systemically available but not by the main metabolite 2-phenoxy acetic acid, which may be responsible for toxicity to the kidney",12,,control rabbits (6 females distilled water administered) exhibited a slight gain in mean body weight over the 10-day dosing period.,2,,
hydroxypropyl p-phenylenediamine and its dihydrochloride salt,non OECD,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_230.pdf,in vivo,"rats in the mid dose group (300 mg/kg) showed significant reductions in body weight gain compared to controls, from day 4 onwards in males and from day 8 onwards in females. ",,,,"yellow to yellowish brown colored urine was also observed, confirming the systemic exposure to hydroxypropyl p-phenylenediamine HCl. ",an increase in the level of triglycerides was observed in female rats treated with the dose 100 mg/kg/day. ,an increase in relative weight of liver (relative to terminal body weight)  was observed in female rats treated with the dose 100 mg/kg/day. ,,"decrease in red blood cell count, hematocrit and prothrombin time, increase in platelet counts, increase of relative liver  and kindey weight",100,"noael, mg/kg/day","liver, haematopoietic system, kidney",yes,"mortality was observed in the high and mid dose groups (10/10 and 1/10, respectively)",the dose level of 300 mg/kg can be considered a maximum tolerated dose,,,,,,,98.6,,,r0025521b 004 p 001,test substance: hydroxypropyl p-phenylenediamine HCl,rat /wistar,,,,f & m,,,,10,"0, 100, 300, 1000 ",mg/kg ,10,,"yes, gavage",,,,,,,,,distilled water,,,,14,2012,yes,"statistically significant decreases in red blood cell count, hematocrit and prothrombin time were observed in females at 300 mg/kg bw/d. in both sexes, statistically significant increases in platelet counts were observed at the highest dose tested. in addition, a trend increase in absolute and relative liver and kidney organ weights was observed. these changes were significant at 300 mg/kg/day.","mehta, 2013",,,2,,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,study showed no toxicity except for dermal irritation at the highest dose tested. upper respiratory disease during the study up to day 25. diarrhoea in all animals was not attributed to the test substance. dermal irritation (dermatitis) was observed at the high dose and was dose-dependent..,,,there was no treatment-related  haematological changes,,there was no treatment-related biochemical changes,,microscopic examination revealed no histomorphology changes in the skin. ,,,,,no,,test substance was reported to show “little toxic effect” aside from dermal irritation (pathology data not reported).,,,,,,12.5% triclosan added to 50% corn-starch vehicle,,,,,,dog/Beagle weanling,,,,,,,,,"0, 2, 20, 200",mg/kg bw/d,,,,yes,,,shaved neck ,,,,,corn starch,50,,,90,1973,no,,12,,,,dorner. conducted prior to oecd guidelines and missing a number of study parameters,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,,,no treatment-related toxicities were observed. ,"mild anaemia, red blood cell and haemoglobin values showed variations between animals, but was not considered treatment-related. these changes were attributed to frequent sampling.",,"limited clinical chemistry parameters were evaluated due to limitations in blood sampling; however, of the parameters measured, no consistent changes were noted. ",termination examination showed no organ weight changes.,"histopathologic evaluation revealed similar findings of focal adrenal mineralisation, pulmonary infiltration, and low-grade pneumonia in both treated and control animals. hepatocellular vacuolar changes and hepatic extramedullary haematopoiesis were observed in both treatment and control animals. no histological changes were observed in skin sections taken for examination.",,,,,no,,"no differences were noted between animals sacrificed after 90 days of treatment and recovery animals.showed that repeated exposure to triclosan (0.1% in a soap solution, 5 min exposure) was well-tolerated.",,,,,0.1,soap,,,,,,monkey/rhesus,,,,,,,,,,,,"repeated daily, 5min exposure for 90d",,yes,,,,,,,after 5mins,,,,,90 + 30,1973,no,,13,,recovery group: 30 days without bathing. ,,"hazleton labs. conducted prior to oecd guidelines and not comparable to current oecd guidelines (e.g., exposure method). newborn monkeys.  ",
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,"following the first day, due to the occurrence of deaths, dyspnoea and general clinical signs indicative of poor health in the treated animals, the test concentrations were reduced to 0, 50, 115, or 301 mg/m3 for dosing on days 2-15, i.e., the remainder of the study.",,,"in the remaining animals, dose-related increases in leukocyte count",,"in the remaining animals, alterations in serum chemistry such as glutamic-pyruvic transaminase, alkaline phosphatase were observed. ",,slight focal inflammation of the mucous membranes was observed in high-dose animals at the end of the study,,50,noael mg/m3,,yes,"although there were 12 unscheduled deaths related to high-dose level exposure, 11 of the 12 rats died during day 1 as a result of the very high initial doses. necropsy revealed congestion, inflammatory changes in mucous membranes and nasal cavity.",the noael for inhaled triclosan was determined to be the lowest dose tested. ,,,,,,,,,,,test substance: triclosan ,rat,,,,f & m,,,,20,50 --> 1300,mg/m3,,,,,,,,,yes,,,,,,,14 days,,no,,32,,,,,the study is mentioned under 21 days repeated dose inhalation toxicity in the opinion but 14 days exposure is mentioned in the text
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,,,,,,"for triglycerides, the triclosan group differed from the placebo group (p<0.01) at 3 weeks, but not at 12 weeks.  there was no difference between treatment and control groups for any of the other liver function tests.",,,,,,,no,,,,,,,0.2,triclosan in toothpaste ,,,,,triclosan in toothpaste in 75 subjects;  ,human ,,,,,,,,75,,,,twice daily ,"yes, brushing ",,,,,,,,,,,,,12 weeks,1994,no,"the human safety studies reviewed showed no signs of overt toxicity in over 3,000 subjects that used triclosan-containing toothpaste for 12 weeks to 3 years. ",105,,"NaF/silica toothpaste in 78 subjects, in total 153 subjects participated in the study ",,colgate-palmolive,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,,,,"the data showed increases in white blood cells and lymphocytes throughout the study, with decreases in mean corpuscular haemoglobin/concentration",,"biochemical analyses showed increases in sodium, cholesterol (total, ldl, and hdl), uric acid, and creatinine and decreases in bilirubin at all time points in the study in either males or females or both sexes. the average triclosan concentration in the blood of 15.5 ng/mL was reported to rise to 31.2 ng/mL after a period of 4 weeks on study. this concentration was reported to subsequently level off with further use of the triclosancontaining dentifrice. ",,,,,,,no,,these changes were not attributed to triclosan. ,,,,,0.2 ,toothpaste containing 0.2% of triclosan and 0.5% zinc citrate ,,,,,,human ,,,,,,,,112,,,,daily ,"yes, brushing ",,,,,,,,,,,,,52 weeks + 13 weeks,1991,no,,106,,,,safford.,the recovery period is called washout period 
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,,,,"standard haematology results showed some statistically significant changes periodically (compared to baseline values), but no pattern to the changes. some significant correlations were found between parameters and triclosan blood levels, but these were inconsistent over the course of the study in terms of time or sex of subject.",,"standard clinical biochemistry results showed some statistically significant changes periodically (compared to baseline values), but no pattern to the changes. some significant correlations were found between parameters and triclosan blood levels, but these were inconsistent over the course of the study in terms of time or sex of subject.",,,,,,,no,,these changes were not attributed to triclosan toothpaste use.,,,,,0.2,toothpaste containing 0.2% of triclosan and 0.5% zinc citrate ,,,,,,human ,,,,,,,,112,,,,normal daily use according to subject's normal brushing habits,"yes, brushing ",,,,,,,,,,,"blood samplings at baseline and 4, 12, 24, 38, 52, and 65 weeks.",,12 weeks (extended to 52 weeks)+13 weeks,1991,no,,107,,,,barnes. 86 subjects completed the study. oral irritation data including subjective “complaint level” for the whole trial period were summarised and found to be similar to effects experienced in similar trials involving toothpaste. there were no withdrawals from the trial due to adverse reactions. ,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,,,,,,,,,,,,,no,,"no treatment-related changes were reported for any parameter measured, including haematology, clinical chemistry, and urinalysis parameters. the data shows that the use of toothpaste containing 0.3% triclosan produces no adverse effects compared to triclosan-free toothpaste formulations",,,,,,silicon dioxide-based toothpaste containing 0.243% fluoride and 0.3% triclosan,,,,,,human ,,,,,,,,3000,,,,normal dentifrice use,,,,,,,,,,,,,,3 years,1994,no,,108,,"silicon dioxide-based toothpaste containing 0.243% NaF, or 0.331% NaF. ",,fishman,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,"there were 6 dropouts (5 triclosan and 1 placebo) due to adverse effects (skin reactions - 3 subjects including 1 placebo subject; increase in liver enzymes - 2 subjects; and, antrum gastritis - 1 subject). these findings were not considered to be attributable to triclosan, as they are not uncommon in pharmacological studies",,,,,"there were slight increases in liver enzyme values including alt, ast, and gamma-glutamyltransferase",,,,,,,no,,"based on vital signs, ecg, lung function, neurological examination and most laboratory parameters, triclosan was considered to be well-tolerated",,,,,,,,,,,,human ,,,,,,,,20,"0, 1, 5, 9, 12, 15, 18, 21, 24, 27, 30",mg,,single & repeated ,"yes, capsule",,,,,,,,,,,,,up to 30 days,1990,no,,109,,,,lucker et al. the dosing regimnet depended on he study phase. ,
