Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
"1,2,4-trihydroxybenzene ",429,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_113.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no clinical signs and no mortality related to treatment were observed during the study. in the first experiment, dryness of the skin was noted on day 6 in 2/4 and 4/4 animals given 1,2,4-trihydroxybenzene at the concentrations of 1 and 2.5%, respectively. in addition, a moderate increase in ear thickness shows the irritant potential of 1,2,4-trihydroxybenzene at mentioned concentrations. no cutaneous reactions and no noteworthy increases in ear thickness were observed in the second experiment. in the first experiment, positive lympho-proliferative responses were observed at all tested concentrations but without clear evidence of a dose-response relationship. in the absence of local irritation, the positive responses observed at the concentrations of 0.25 and 0.5% were attributed to delayed contact hypersensitivity. ",exp 1: ranged from 12.68 to 26.41 using concentrations in the range from 0.25 to 5%/ exp 2 :  a dose related increase in the stimulation indices (except at 0.1%) was noted and the threshold positive value of 3 was exceeded at the concentration of 0.25%.,,,,,exp 1: moderate increase (up to 45%) at the concentrations of 2.5 and 5%,"1,2,4-trihydroxybenzene induced delayed contact hypersensitivity in the murine LLNA.  the EC3 value for the 1,2,4-trihydroxybenzene calculated on the basis of the results obtained in the second experiment is equal to 0.08%.  accordingly,  1,2,4-trihydroxybenzene should be categorised as an extreme sensitizer. ",,,,,,98.1,,506382,,mice/CBA/J,,,,,4,,"experiment 1: 0.25, 0.5, 1, 2.5 or 5% (w/v) in DMF; experiment 2: 0.01, 0.05, 0.1, 0.25 or 0.5% ",,daily for 3 consecutive days,dmf,,yes,,5,,,"applied volume: 25 µl per ear,  after 2 days of resting, the proliferation  of the lymph node cells was measured by incorporation of tritiated methyl thymidine. scoring on days 1,2,3 and 6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4-trihydroxybenzene ",OECD 442D,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_222.pdf,In Chemico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,374.31µM,992.11µM,,500,positive,,,,,97.8,,THB0200312,,,HaCaT human keratinocytes,,,,,,,,,,,,"0.977, 1.95, 3.91, 7.81, 15.6, 31.3, 62.5, 125, 250, 500, 1000, 2000 μM",DMSO in a final concentration of 1% in 1% DMEM,,,2016,yes,"in the KeratinosensTM Assay, 1,2,4-THB was positive at a concentration of 500 μM. only average values without standard deviations were provided. raw data of the three independent experiments was not provided. the dose-response curve shows a huge variation in gene induction at 500 μM. according to the prediction model of OECD TG442D, the KeratinosensTM assay is positive when gene induction is statistically significant from the solvent control in at least 2 out of 3 replicates. This statistical analysis is not provided. the results of this assay are therefore inconclusive. in addition, data from the KeratinosensTM assay cannot be used on their own to predict the potency of a test chemical. to conclude, the SCCS considers 1,2,4-THB an extreme skin sensitiser based on the LLNA results ",12,"cinnamic aldehyde (4, 8, 16, 32 and 64 μM), in comparison, the EC1.5 value for PPD (p-phenylendiamine) is 11.6 µM in the KeratinoSens™ Assay, which is comparable to the positive control. EC 1.5= 10.37µM, mean IC50(µM) mtt= >64, maximal induction = not applicable, cpncentration for maximal gene induction= not applicable, potential sensitizer = yes","the data confirmed that 1,2,4-THB has the potential to be a sensitiser but is not equivalent to the positive control, cinnamaldehyde, which is a potent sensitiser. the EC1.5 for 1,2,4-THB was determined to be 374.31 µM. i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenoxyethanol,OECD 406,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf,In vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,necrotic skin lesion,"after the intradermal induction, intense erythema and swelling were observed at the injection sites of all control group animals and all test group animals to which only FCA in saline was applied. at the injection sites of the 0.1% test substance preparation in FCA (1:1), intense erythema and swelling were seen in all test group animals. injections of a 0.1% test substance preparation in olive oil caused moderate and confluent erythema and swelling in all test group animals. the control group animals injected with olive oil showed moderate and confluent erythema and swelling. a 50% formulation of olive oil with FCA in saline (1:1) caused intense erythema and swelling in all control group animals.",the epicutaneous induction with the undiluted test substance led to incrustation and moderate and confluent erythema and swelling in all test group animals.,the challenge with the undiluted test substance on the flanks did not cause any skin reactions in either the control or test group animals.,not a skin sensitiser,negative,,,,,99.9,,66-4276,test substance: Protectol® PE (2-phenoxyethanol),guinea pig/hsd poc:dh (spf),,,f,,10,,0.5 mL,"three pairs of intradermal injections in the neck region (saline FCA alone, 0.1% test substance in olive oil, and 0.1% test substance in saline FCA)","olive oil ph.eur./dab, frend's adjuvant/0.9%saline",challenged two weeks after epicutaneous induction ,occlusive dressing,undiluted,yes ,2002,yes,no analytical report on the purity of batch 66-4276 is available.,6,,,intradermal induction with 0.1% in olive oil Ph.Eur./DAB or 0.1% in FCA/0.9% saline (1:1)/ epicutaneous induction was carried out one week later in the same region by applying 1 ml undiluted test substance to the skin under occlusive dressing for 48hrs. the control group animals injected with olive oil showed moderate and confluent erythema and swelling. a 50% formulation of olive oil with FCA in saline (1:1) caused intense erythema and swelling in all control group animals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin a,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no reaction to discrete to intense erythema, swelling and scaling from 1st to 3rd induction",dose-related increased skin reactions,"erythema slightly different in group 1 and 2,",not a sensitiser/ ingredients considered to be responsible,negative,,,,,,,a) 23-0136 b) 82-0085-00 c)no information,"3 different test substances: a) retinol 50c (ingredients: retinol 47.1/100g andpolysorbate) , b) retinol 10cm and c) polysorbate",guinea pig/ dunkin hartley,,,f,,20,,"""induction: 25% in lutrol e 400(vehicle), 1st challenge: 10% in vehicle, 2nd challenge: 5% and 10% in vehicle, 3rd challenge: 2.5%(retinol 10cm) in miglyol 812n and 2.5%(polysorbate 20) in vehicle",,,,gauze patche 2*2cm under occlusive dressing,lutrol e 400,yes,1999,yes,"the risk of sensitisation to retinol, retinyl acetate and retinyl palmitate is negligible",14,,,"10 animals in the test group, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin a,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"after 1st challenge 5/10 (50%) control animals showed slight erythema at 24 and 48 hours, In the test group after 1st challenge, slight erythema was observed in 3/30 (15%) at 24 hours and 4/20 (20%) animals at 48 hours, ",at 2nd challenge no skin reaction was observed in the control animals and test group,,"retinyl acetate (1.5 mio IU/g) showed slight skin sensitising reaction in female guinea pigs after the 1st but not after the 2nd epidermal challenge. the transient and slight skin reaction observed in 50% of the control and 15-20% in the test group only after the 1st challenge were interpreted as signs of enhanced skin reactivity, a syndrome known to occur in animals treated with FCA and lipophilic test substances. according to EEC (European Economic Community) classification criteria described in guidelines 83/467, september 16, 1983, this test article is not a sensitiser. ",negative,,,intradermal induction: 5%/ epidermal induction:30%/ epidermal challenge: 10%,,1.5 mIU/g (515 mg RAc/g),,805043,test substance: vitamin a acetate(Ro 01-5275) (retinyl acetate),guinea pig/albino himalayan,,,f,,20,,0.1 ml,"1st: fca emulsified 50:50 in distilled water, 2nd: 5% in vehicle, 3rd: 5%emulsified in fca 50:50 water and in vehicle",olive oil,epicutanous induction: dorsal skin (scapular region) one week after injections on clipped skin  with the diluted test item (30% in olive oil) ,"2*4cm patch covered with aluminium foil securely elastic plater wrapped around the trunk, the dressing was left in place for 48h",olive oil,yes,1988,yes,"the risk of sensitisation to retinol, retinyl acetate and retinyl palmitate is negligible",132,,,"DNCB as positive control in a separate group of animals, 10 animals in the control group, intradermal injections were given simultaneously into an area of 4*6 cm(on 6 x 8 cm clipped dorsal skin on scapular region), the guinea pigs were challenged topically two weeks after the intradermal induction. a second challenge was performed two weeks after the first challenge according to the same procedure ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin a,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"after the 1st no skin reaction was observed in the control animals. four out of twenty (20%) and 2/20 (10%) animals showed slight erythema at 24 and 48 hours,","fter the  2nd challenge, no skin reaction was observed in the control animals. no skin reaction was noted at each time-point after the 2nd epidermal challenge. ",,"mild grade sensitiser in the test, classified as no-sensitiser",negative,,,intradermal induction: 5%/ epidermal induction: 100%/ epidermal challenge:30%,,1.7 mIU/g (935 mg RP/g),,710758,test substance: retinyl palmitate,guinea pig/himalayan,,,f,,20,,0.1ml,"1st: fca emulsified 50:50 in distilled water, 2nd: 5% in vehicle, 3rd: 5%emulsified in fca 50:50 water and in vehicle",olive oil,epicutanous induction: one week after the injections induction on the same area as injections one week after on clipped shaved skin with the undiluted test item (100%) ,2*4cm patch covered with aluminium foil securely elastic plater wrapped around the trunk for 48 hours,olive oil,yes,1988,yes,"the risk of sensitisation to retinol, retinyl acetate and retinyl palmitate is negligible",126,,,"10 animals in the control group (DNCB), three pairs of intradermal injections were given simultaneously into an area of 4 x 6 cm (on 6 x 8 cm scapular region clipped free of hair),  the guinea pigs were challenged topically two and four weeks after the intradermal induction. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"respectively, after the 1st challenge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin a,/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1st challenge consisted of inflammatory skin reactins, erythema, swelling,partially open eczematous in a varying degree and incidence dependent on the induction pre-treatment and the respective applied challenge application","2nd challenge showed inflammatory skin reacions consisting of erythema, swelling, partially with open eczematous in a varying degree and incidence dependent on the induction pre-treatment and the respective applied challenge application",,"retinol showed a sensitising effect on the skin, the induction threshold concentration corresponded to 0.2% retinol while no skin sensitisation was induced with 0.1% retinol",,,,,main ingredients: retinol 47.1 g/100 g and polysorbate20,,,23-0136,test substance: retinol 50 C,guinea pig/ dunkin hartley,,,f,,8,,"epicutaneous induction: 0.2%, 0.4%, 0.75%, 2%, 5%; epicutaneous challenges: 0.2%, 0.4%, 0.75%, 2%, 5% ",,,,,lutrol E 400 (polyethyleneglycol),,clipped skin on the right flank ,"0.1 (induction volume), 0.025 (challenge volume) ",,"in total 13 inductions were performed with 1 application per workday during days 0 – 14 followed by 6 days rest; thereafter each dose was again applied once on days 21 and 22, followed by a rest of 3 days. two challenges were carried out, the 1st at 6 days and the 2nd 20 days after the induction phase","24,48 and 72hours",,yes,2000,yes,"the result of the open application test is inconclusive and most likely due to irritation. The SCCS considers the risk of sensitisation to retinol, retinyl acetate and retinyl palmitate as negligible. ",,16,"for the identification of a threshold concentration for the sensitising property of a retinol preparation an open epicutaneous test (OET) was performed using female albino hartley guinea pigs, following the method of Klecak. Surface area: topical induction 8cm2, challenge 2cm2, during the induction period, the animals of all test groups exhibited skin inflammation indicated by erythema, swelling, severe scaling and eczematous skin reactions and residuals of the test substance formulation was noted in all groups at several times during this period. due to these skin reactions, which were mainly observed in the animals receiving concentrations of 2% or 5%, the application areas were moved from cranial to caudal and were interrupted for all animals after the 11th induction for 6 days. after partial recovery of skin reactions, the animals received two further induction applications, but due to renewing severe skin reactions, further induction applications were omitted. ",,,,,,,,,,,,,,
β-arbutin,non OECD,http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_169.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no positive reactions for β-arbutin,,,β-arbutin does not possess skin sensitising potential under the test conditions,,,,"dermal induction: β-arbutin 10% in water/ethanol - dermal challenge: β-arbutin 1,3,10% in water/ethanol",,99.7,,lot A,test substance: β-arbutin dissolved as a 10% (w/w) solution in water,guinea pig/hartley albino ,,,f,,10,,"dermal challenge: 1,3,10% β-arbutin water/ethanol, ","yes,three injection on the upper dorsal region  (0.1 ml of Freund’s complete adjuvant (FCA):water (1:1)/ 0.1 ml of 10% β -arbutin in distilled water/ 0.1 ml of 10% β-arbutin emulsified in FCA )",water and fca,"one week after intradermal induction, 50 mg of 10% sodium lauryl sulfate in petrolatum was applied the day before application of 0.2ml of 10% beta-arbutin under occlusive condition for 48h on the upper dorsal region",,petrolatum (topical induction) water/ethanol (topical challenge),48h,flank,0.1 ml,occluded,"on the first day intradermally injection on the upper dorsal region of 0.1ml of FCA:water, 0.1ml of 10% beta- arbutin in distilled water and 0.1ml of  10% beta-arbutin emulsified in FCA, one week later first application of 50mg of 10%  sodium lauryl sulfate in petrolatum followed by application of  0.2 ml of 10% beta-arbutin occlusively for 48 hours the day after. distilled water was used as negative control, 5% HQ was used as reference control, and 0.2% 2,4 dinitrochlorobenzene (DNCB) was used as positive control.  three weeks after the first induction  0.01 ml of 10, 3, and 1% beta-arbutin in aqueous/ethanol (50/50) solution were topically applied on the flank of animals.  0.01 ml of 10, 3, and 1% HQ in aqueous/ethanol (50/50) solution were applied as reference control, and 0.01 mL of 0.01 and 0.1% DNCB in acetone were applied as positive control.",24 and 48 h after application,,yes,1986,no,"no preliminary study for induction and challenge concentration determination has been performed. challenge with 3 different concentration is unusual. Scores after induction are not stated, thus the adequacy of the concentration used cannot be checked. the question can be raised whether an aqueous/ethanol (50/50) solution is an appropriate solvent. an aqueous solution with slightly acidic pH would be more suitable. ",,7,"10 females treated with hydroquinone, 5 females treated with positive control (DNCB), 10 females treated with distilled water (control group), all the animals challenged with 3 or 10% hydroquinone and 9 of 10 tested with 1% hydroquinone showed allergic reactions on challenge. five out of five guinea pigs sensitised to DCNB showed an allergic reaction when challenged with 0.01 and 0.1% DNCB. no positive reactions were observed with the control group at any challenge concentration.",,,,,,,,,,,,,,
vetiveryl acetate ,OECD TG 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no erythema or oedema was noted in any of the mice at any time during the study, except positive control. there were no statistically significant differences in mean body weights at day 1 and day 6 or in mean body weight changes. the lymph nodes from all mice treated with the test substance at 25% and with HCA at 35% were enlarged, but otherwise appeared normal. ","0, 1.67, 1.90, 2.53, 3.33, 10.09",,,,,,vetiveryl acetate exhibited a potential to induce dermal sensitisation in this murine local lymph node assay. these materials are considered weak to moderate dermal sensitisers. EC3: 9.3% (2317 μg/cm2),,,light yellow liquid,"0, 1, 2.5, 5, 10, 25%",,,,203938,test substace: acetyver 230451,mouse/CBA/J,,,f,,5,"on day 6 intravenous injection in tail with 20 microCurie of radiolabelled 3H-thymidine in sterile saline.  the mice were killed by CO2 asphyxiation 5 hours later.  a single cell suspension was prepared by pooling the lymph nodes from each group. after washing twice with phosphate buffered saline, cells were precipitated overnight at 2-8°C with 5% trichloroacetic acid. incorporation of 3H-thymidine was measured in a β-scintillation counter. ",,,topical application once daily for three consecutive days ,diethyl phthalate/ethanol in a 3:1 ratio,2007,yes,moderate skin sensitisers,79,"the negative control groups were treated with the vehicle alone. a positive control, hexylcinnamaldehyde (HCA), was included in the llna with test substance D and was used at the positive control for the three other llna run concurrently with this study. very slight erythema on day 2 in one mouse treated with 35% HCA and on day 3 in all 5 mice treated with 35% HCA. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
