dossier,PDF link,type of study,guideline,absorption profile,total recovery,skin washing,skin,receptor fluid,call washing,radioactivity distribution demonstration,tabulated data,discussion and result,conclusion,source and site of skin,"method of preparation (epidermal membranes (enzymatically, heat or chemically separated); split thickness skin (typically 200-400µm thick); full thickness skin )",storage conditions prior to use,"pre-treatment ( cleaning, antibiotic treatments, etc.)",skin integratity and barrier function,replicates,other test system,composition,solubility of the test substance,flow rate,static,flow-through,"donor chamber (occluded, non-occluded)",pH,solid,liquid,test substance concentration (%),vehicle,purity (%),chemical batch nr,additional info,purity,batch number,specific activity,solubility in receptor fluid,homogeneity and stability,formulation,dose levels,dose level unit,administration scheme,volume,exposed area,duration of exposure,sampling,assay method,extraction technique,limits of detection,analytical method validation,details of removal and washing,SCCS comment to test,year,GLP,klimisch score,Ref. in dossier,additional info,own comment
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,non OECD,it can be considered that 41.2% of the applied dose was absorbed percutaneously within 24 hours (penetration through the stratum corneum into deeper layers of the skin is considered to represent absorption),,,"58% of applied dose(33% skin surface + 25% stratum corneum). of the radioactivity in the skin at 24 hours, 13% of the dose was recovered as triclosan, 1.4% as triclosan glucuronide, and 1.6% as triclosan sulfate.","41.2% of applied dose (23% in receptor fluid + 18.2% dermis and epidermis). of the radioactivity in the receptor fluid at 24 hours, 17.3% of the applied dose was present as triclosan, 4.1% as triclosan glucuronide, and 0.9% as triclosan sulfate.",,"glucuronidation and sulfation of triclosan were demonstrated to occur in this model (i.e., the conjugates were found in the collecting reservoir following absorption through the skin), with the glucuronide being the primary metabolite at levels up to 1.4%. ",,"triclosan was primarily absorbed through the skin as the parent compound, with some glucuronide and sulphate conjugates being detected in the receptor fluid. glucuronidation was the primary route of metabolism of triclosan in rat skin. these findings were supported by in vivo studies with rats in which 0.4 and 1.5% of the parent glucuronide were reported to occur in the urine and skin, respectively, following the dermal application of triclosan [moss et al., 2000 (21)].",the data show that triclosan is metabolised in the skin,rat dorsal skin ,,,,,,,,,,,,,,,,64.5 mM ,ethanol-water (9:1 v/v),,,,,,0.48 Mbq ,,,"radiolabelled triclosan in an ethanol-water (9:1, v/v) solution",,,,7µl,0.64cm2,,24h,,,,,,"Glucuronidation and sulphation were demonstrated to occur in an in vitro diffusion skin model used to assess the ability of skin to metabolise triclosan [Moss et al., 2000 (21)]. Of the radioactivity in the receptor fluid (i.e., following absorption through the skin) at 24 hours, 3.5% of the applied dose was present as triclosan glucuronide and 0.2% was present as triclosan sulfate.",2000,no,,21,moss et al.,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,non OECD,"an equilibrium dialysis method was used and the ratio of the bound to the unbound fractions was constant over the tested concentrations (i.e., no saturation of binding was observed during testing). the plasma protein binding was determined to be 98.4 to 99.2, 98.1 to 98.7, and 98.7 to 99% in humans, mice, and hamsters, respectively.",,,,,,,,,"triclosan is highly bound in the plasma, with no species differences observed.",,,,,,,plasma of human & mouse & hamster ,,,,,,,,,,,,,,test substance:  irgasan dp300,,,,,,,"3.2, 6.4, 16",µg/ml,,,,,,,,,,,,1995,no,,99,sagelsdorff and buser. Plasma protein binding study in 3 species,
triclosan ,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,non OECD,,,,"epidermis: 46%, dermis: 24%, stratum corneum: 22%",6.3%,,"of the radioactivity in the receptor fluid at 24 hours, 0.8% of the applied dose waspresent as triclosan, 3.5% as triclosan glucuronide, and 0.2% as triclosan sulfate. of the radioactivity inthe skin at 24 hours, 12% of the dose was recoveredas triclosan, 3% as triclosan glucuronide, and 3% as triclosan sulfate",,,,human breast of abdominal skin ,,,,,,,,,,,,,,,tritiated triclosan solution,,,,,,,,,,,,,,,,0.64cm2,24h,,,,,,,"An in vitro diffusion skin cell model was used to assess the ability of the skin (rat and human) to metabolise triclosan applied using an ethanol:water (9:1) vehicle [Moss et al., 2000 (21)]. Glucuronidation and sulfation of triclosan were demonstrated to occur in this model (i.e., the conjugates were found in the collecting reservoir following absorption through the skin), with the glucuronide being the primary metabolite at levels up to 1.4%. 3 H-labelled triclosan has been used to examine percutaneous absorption in a number of in vitro studies. Percutaneous penetration of 30.3% of the total applied dose of triclosan in an ethanol/water solution was measured 24 hours after application of the dose to human skin samples in a diffusion cell system [Moss et al., 2000 (21)]. Results from studies using skin samples in diffusion cells showed limited percutaneous absorption following application of triclosan to the skin surface in any of the formulations used. The amount of triclosan tested in most of these studies (0.2%) is within the range of anticipated concentrations in consumer products (from 0.15 to 0.3%). The low concentration in the soap solution study (0.02%) was intended to simulate actual-use conditions (i.e., a soap solution of 0.2% triclosan would be diluted with water when applied to the skin). Appropriate rinse steps were included in the rinse-off product studies. As recommended by SCCP guidelines (SCCP, 2006), calculations of dermal absorption included the amounts of triclosan recovered in the dermis and epidermis layers (i.e., the “remaining sample of skin” after removing the stratum corneum, represented by tape strips 1 to 20 in these studies) and the amount recovered in the receptor fluid. Table 37 presents a summary of the values from the in vitro studies conducted in human skin samples. The results from the autoradiography study [Black et al., 1975 (27)] indicated no significant differences in the low levels of percutaneous absorption between different soap vehicles or between single versus multiple applications [Black et al., 1975 (27)]. Overall, the dermal absorption of triclosan was shown in these in vitro studies to be lower in human skin than in rat (7.2 to 30.3% versus 41.2% in studies in rats, including the data from the study using ethanol/water formulation)]. ",2000,no,,21,moss et al.,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,non OECD,"Autoradiography of skin at 10 minutes after a single application of the various [3H]DP300 soap suspensions showed very low silver grain densities on the stratum corneum and in the epidermis, low or very low densities in the upper dermis, and very low or nil densities in the lower dermis. No grains were seen in the follicles or sebaceous glands. At 48 h after the single application, no silver grains were seen, except in the corneum after application of the fresh soap preparation. ",,,,,,,,,Scintillation counting showed no significant differences between the soap vehicles or in the single vs. repeated applications.,human lower back skin ,,,,,,,,,,,,,,,,0.08,,,,test substance: DP300,,,,,both suspension prepared freshly,0.25 mL of an 8% (w/v) conventional soap (freshly prepared or equilibrated over 1 week) or non-soap detergent suspension (freshly prepared) each containing 0.08% (w/v) [3H]DP300,,,single versus 6 applications in 3 days,0.25 mL,20cm2,2m,,liquid scintillation counting,,,,,"The results from this autoradiography study indicated no significant differences in the low levels of percutaneous absorption between different soap vehicles or between single versus multiple applications. Overall, the dermal absorption of triclosan was shown in these in vitro studies to be lower in human skin than in rat (7.2 to 30.3% versus 41.2% in studies in rats, including the data from the study using ethanol/water formulation)]. ",1975,no,,27,Black et al.,
triclosan,,in vitro,non OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plasma Protein Binding: An in vitro study was conducted with serum derived from a healthy donor’s blood to estimate the binding of 14C-labelled GP 41353 to serum proteins (specifically albumin) using equilibrium dialysis. At concentrations ranging from 0.36 to 7.9 µg/mL, 99.8% of the drug was bound to serum proteins. There was no indication of saturation of binding sites, and the ratio of the unbound fraction to the bound fraction remained constant with increasing concentrations. At concentrations ranging from 0.095 to 9.1 µg/mL, 98.9% of the drug was bound to albumin, with no indication of saturation of binding sites. It was therefore concluded that, in plasma, the majority of the drug binds to albumin. Equilibrium dialysis showed that dialysis time is 60 minutes and that GP 41353 is bound to protein more firmly than it adheres to the membrane [Wagner, 1973 (141)]",1973,no,,141,Wagner ,
acid orange 7,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf,in vitro,non OECD,,,,,,,,,"according to the applicant, the content of orange 4 found in every single fraction of the receptor fluid was low, despite the late depot often measured on the skin surface or in upper layers of the stratum corneum. taken together, these findings indicate that the part of orange 4 which remains on or in the horny layer after the washing steps remains mainly on or in this layer, and that there is poor delivery into the receptor fluid over the observation period ranging from 24 to 88 hours in different experiments. therefore the amounts found in the epidermis (skin surface) will not be considered for the calculation of the biologically available amount. in the case of the foam formulation, the worst case assumption considers a maximal amount of 12.9 ng/cm² as biologically available, while the same considerations for the other experiments lead to amounts of 557 ng/cm² and 1813 ng/cm² respectively as biologically available. for the risk assessment approach, a worst case assumption of 1813 ng/cm2 is justified.",,pig male animal (schweizer edelschwein) skin full back and flank ,"split thickness 1000µm ((stratum corneum, stratum germinativum and part of the dermis containing blood vessels).",,,skin integrity checked by triated water,,,saline,> 1mg/ml,2.5-5 ml/h,,flow through system,,,,,0.5 & 0.13,,,,test substance: d&c orange 4 in several formulations,,,,,,gel & foam ,100,mg/cm2,,,4 & 9.1 cm2,0.5h,"16, 24, 72, 88h",hplc,,,,washed with a shampoo,"this report is a compilation of two studies. the original reports with the complete experimental data are not in the documentation. because of the lack of information, this report is considered inadequate for the evaluation of the dermal absorption of d&c orange 4.",,no,,27,,
hc blue n° 15,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_089.pdf,in vitro,non OECD,"most of the wr802178 applied on the skin surface was removed with the washing procedure. the total percutaneous absorption value (receptor fluid, epidermis and upper dermis) was 0.798 ± 0.480 μg/cm2 (0.048± 0.029 % of the applied dose). ",the total recovery of the dye was 109.8 ± 3.6%. ,,"the amounts of wr802178 detected in the separated skin layers were: 0.539 ± 0.374 μg/cm2 (0.032± 0.022% of the applied dose) in the epidermis, and 0.098 ± 0.083 μg/cm2 (0.006± 0.005% of the applied dose) in the upper dermis.",the content of wr802178 in the receptor fluid was below the limit of quantification in 3 samples (122 ng/cm2); the amount considered as being present in the receptor was 0.161 ± 0.083 μg/cm2 (0.010± 0.005% of the applied dose),,,available in the opinion ,,application of 1.67 mg of wr802178 in 100 mg of oxidative formulation per 1cm2 of skin: (skin no) / integrity-test 3H2O permeation (4 hours cumulative) [% dose] / 1) receptor fluid (72 hours cumulative) [ng/cm2] - [% dose] / 2) epidermis (72 hours cumulative) [ng/cm2] - [% dose] / 3) upper dermis (72 hours cumulative) [ng/cm2] - [% dose] / 4) rinsing solution (after 30 minutes) [ng/cm2] - [% dose] / 1) + 2) + 3) + 4) total: (2) 0.73 / <122* - <0.007* / 306 - 0.018 / 81 - 0.005 / 1’898’656 - 113.919 / 1’899’166 - 113.950; (4) 0.92 / <122* - <0.007* / 425 – 0.025 / 88 – 0.005 / 1’868’304 - 112.098 / 1’868’940 - 112.136; (6) 0.82 / 309 – 0.019 / 1’204 – 0.072 / 241 – 0.014 / 1’831’633 - 109.898 / 1’833’387 - 110.003; (8) 0.85 / 129 – 0.008 / 403 – 0.024 / 38 – 0.002 / 1’801’745 - 108.105 / 1’802’314 - 108.139; (10) 0.91 / <122* - <0.007* / 359 – 0.022 / 43 – 0.003 / 1’745’510 - 104.731 / 1’746’034 - 104.762; control skin ** (12) 0.82 / blank – blank / blank – blank / blank – blank / blank – blank / blank – blank. mean; +/- s.d.; (n): integrity-test 3H2O permeation (4 hours cumulative) [% dose] / 1) receptor fluid (72 hours cumulative) [ng/cm2] - [% dose] / 2) epidermis (72 hours cumulative) [ng/cm2] - [% dose] / 3) upper dermis (72 hours cumulative) [ng/cm2] - [% dose] / 4) rinsing solution (after 30 minutes) [ng/cm2] - [% dose] / 1) + 2) + 3) + 4) total: 0.84; 0.07; (6) / <161 - <0.010; 83 – 0.005; (5) – (5) / 539 – 0.032; 374 – 0.022; (5) – (5) / 98 – 0.006; 83 – 0.005; (5) – (5) / 1’829’170 - 109.750; 59’408 – 3.564; (5) – (5) / 1’829’968 - 109.798; 59’432 – 3.566; (5) – (5). * = limit of quantification; ** oxidative formulation w/o wr802178.,pig skin (male),1000 µm thickness,, /,tritiated water,5  (and 1 control),,"0.14 M NaCl, 2mM K2HPO4, 0.4 mM KH2PO4,100 IU penicillin/ml and 97 μg streptomycin/ml",1.94 mg/ml,,,flow through diffusion cells,,,,,1.67,,,,test substance: wr802178,,,,,,base batch 6746 11.06.2002 (oxidative formulation),100,mg/cm2 of oxidative formulation (); 1.67mg/ cm2 of the dye active principle (=1.67%).,,,4cm2,0.5h,"at 16, 24, 40, 48, 64, and 72 hours, the dye content was analysed by hplc as well as after 72 hours in the skin compartments (epidermis and upper dermis separated) ",hplc (detection at 606 nm),,limit of quantification <122 ng/cm2,,with shampoo and water and left unoccluded for a 72 hour exposure period ,"the experiment did not conform to guidelines. 100mg/cm2 of formulation was applied. too few chambers were used (5) and the number of donors is not stated. the purity of WR802178 is not given. the membrane thickness was inappropriate. in view of the above, and as penetration of WR802178 is low, the amount considered as being absorbed from an oxidative hair dye formulation containing 1.67% wr802178 is considered as (mean +2SD) 1.76 μg/cm2 (0.11%). this may be used in calculating the MOS. ",2002,yes,,24,,
basic violet 2,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_066.pdf,in vitro,non OECD,"for basic violet 2 a P app of 2.8 x 10-6 cm/sec (2.9 and 2.6 x 10-6 cm/sec) was determined and thus the test substance was classified to be of medium permeability, indicating a substantial absorption from the gastrointestinal tract.",the total recovery for the reference substances and basic violet 2 ranged from 82 to 118 % (mean of 2 values).,,,,,,,,"a mean permeability in human intestinal epithelial (tc-7) cells of 2.8 x 10-6 cm/sec was obtained with basic violet 2 which classifies the test item to be of medium permeability. as the absorption across the intestinal epithelium is considered to be the limiting factor of the uptake through the gastro-intestinal tract, the medium permeability observed in this assay indicates a substantial but not complete absorption of basic violet 2 after oral administration",human intestinal epithelial cell line TC-7,,,,14C-mannitol (about 4 µM) was used to demonstrate the integrity of the cell monolayer. only monolayers revealing a permeability of < 2.5 x 10-6 cm/sec were used,,"the permeability of the test substance from the apical (A, pH 6.5) to the basolateral (B, pH 7.4) side was investigated at 37 °C in 96-well transwell plates with shaking for a 60 min contact time",,,,,,,,,,,,93.8,gst063-0i/41-o6 ,test substance: basic violet 2,,,,,,test substance in hbss buffer containng 1%dmso ,50,µM,,,,60mins,,hplc-ms/ms,,,"propranolol, atenolol, vinblastine and ranitidine were analysed concurrently to demonstrate the validity of the test system. according to the laboratory’s classification system, a low permeability is considered for test items revealing a P app < 2 x 10-6 cm/sec. a P app of 2 - 20 x 10-6 cm/sec and a P app ≥ 20 x 10-6 cm/sec classify a substance to have a moderate and a high permeability, respectively. as recommended by fda, ranitidine (50 % absorption in humans) was used as the low permeability reference compound and propranolol (90 % absorption in humans) was used as the high permeability reference compound. the permeability figures for the reference substances propranolol (P app = 50.6 and 52.7 x 10-6 cm/sec), a high permeability reference compound with 90% absorption in humans, and ranitidine (P app = 0.3 and 0.3 x 10-6 cm/sec), known to be absorbed at about 50 % in humans, were within acceptance range of 20 - 60 x 10-6 cm/sec and 0 - 2 x 10-6 cm/sec, respectively and demonstrated the validity of the assay. ",,"the study was not performed under glp conditions, but a statement of the quality assurance unit of the test facility is included. there is no official guideline for this assay. however, the study was performed according to ecvam recommendations. the generated data is considered to provide an estimation of the bioavailability of basic violet 2 after oral administration. the substance is expected to be only partially absorbed after oral dosing, which should be considered in the calculation of the margin of safety.",2005,,,25,2 independent experiments,
disperse violet 1,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,in vitro,non OECD,"for disperse violet 1 a Papp of 33.3 x 10-6 cm/sec (30.62 and 36.05 x 10-6 cm/sec) was determined and thus the test substance was classified to be of high permeability, indicating a good absorption from the gastrointestinal tract.",the total recovery for the reference substances ranged from 73 to 162 % (mean of 2 values) while for disperse violet 1 the recovery was only 10 % .  ,,,,,,,,"a mean permeability in human intestinal epithelial (TC-7) cells of 33.3 x 10-6 cm/sec was obtained with disperse violet 1 which classifies the test item to be of high permeability. as the absorption across the intestinal epithelium is considered to be the limiting factor of the uptake through the gastro-intestinal tract, the high permeability observed in this assay indicates a good absorption of disperse violet 1 after oral administration. ",human intestinal epithelial cell line TC-7,,,,14C-mannitol (about 4 μM) was used to demonstrate the integrity of the cell monolayer. only monolayers revealing a permeability of < 2.5 x 10-6 cm/sec were used. ,two independent experiments,"the permeability from the apical (A, pH 6.5) to the basolateral (B, pH 7.4) side was investigated at 37 °C in 96-well transwell plates with shaking for a 60 min contact time.",,,,,,,,,,,,98.9,mb002,"test substance: disperse violet 1.purity:  98.9 area% (hplc, 254 nm), 99.2 area% (hplc, 548 nm) ",,,"the study was not performed under glp conditions, but a statement of the quality assurance unit of the test facility is included. there is no official guideline for this assay. however, the study was performed according to ecvam recommendations. due to the low recovery of disperse violet 1 the generated data is considered of questionable value for the estimation of the bioavailability after oral administration. ",,,test substance in hbss buffer containng 1%dmso ,10,µM ,,,,60mins,,hplc-ms/ms,,,"propranolol, atenolol, vinblastine and ranitidine were analysed concurrently to demonstrate the validity of the test system. according to the laboratory’s classification system, a low permeability is considered for test itemsrevealing a P app <2x10-6 cm/sec. a P app of2-20x10-6 cm/sec and a P app ≥ 20x10-6 cm/sec classify a substance to have a moderate and a high permeability, respectively. as recommended by fda, ranitidine (50 % absorption in humans) was used as the low permeability reference compound and propranolol (90 % absorption in humans) was used as the high permeability reference compound. the permeability figures for the reference substances propranolol (two experiments with mean Papp = 58.2 and 48.0 x 10-6 cm/sec), a high permeability reference compound with 90 % absorption in humans, and ranitidine (two experiments with mean Papp = 0.2 and <0.1 x 10-6 cm/sec), known to be absorbed at about 50 % in humans, were within the acceptance range of 20 - 60 x 10-6 cm/sec and 0 - 2 x 10-6 cm/sec, respectively and demonstrated the validity of the assay.",,"the study was not performed under glp conditions, but a statement of the quality assurance unit of the test facility is included. there is no official guideline for this assay. however, the study was performed according to ecvam recommendations. due to the low recovery of disperse violet 1 the generated data is considered of questionable value for the estimation of the bioavailability after oral administration.",2005,no,,30 (subm. 2),,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vitro,non OECD,"the bioavailable portion (chamber fluid, stripped skin) in hairless rat skin is significantly higher when compared to the skin of mini pigs.",,,"6 hrs after exposure to BMHCA in methylcarbitol: 1.9% (2.22 μg/cm2) in the stratum corneum, 0.8% (0.91 μg/cm2 ) in the stripped skin / 16 hrs after exposure to BMHCA in ethanol: 3.9% (4.66 μg/cm2) in the stratum corneum, 4.1% (4.94 μg/cm2) in the stripped skin,",6 hrs after exposure to BMHCA in methylcarbitol: 0% in the chamber fluid / 16 hrs after exposure to BMHCA in ethanol: 0.8% (0.93 μg/cm2) in the chamber fluid. ,,,,,"Based on the dermal absorption studies in vitro, it becomes obvious that skin penetration depends on time and species, but less on the kind of formulation.",mini pig excised skin ,,,,,,,,,,,,,,,yes,1,methylcarbito / ethanol,,,test substance: bmhca,,,,,,dissolved in txo vehicles reaching 120µg/cm2,12,µl/cm2,single dermal,,5,30 sec,"1, 6, 16 and 24h",,,,,,"sccs conclusion on dermal/percutaneous absorption: dermal absorption studies in vitro demonstrated species-specific effects. the bioavailable portion was found much higher in rats (66.1 and 50.8%) when compared to mini pigs (0.8% and 4.9%), thereby depending on the solvent used (methylcarbitol or ethanol). in a second study, applying two real cream formulations (that contained 0.6% bmhca), rat skin again allowed a much higher penetration (45.2% and 78.4%) than mini pig skin (23.6% and 25.7%). nevertheless, the fraction of bioavailable bmhca was found strongly increased in the mini pig experiment when moving from dissolved bmhca to real cream formulations (4.9% vs. 25.7%). concurrently, administration of bmhca onto the skin of experimental animals and humans demonstrated permeation and systemic availability of this compound. percutaneous absorption of bmhca in humans was lower when compared with rats (1.4 vs. 19%). upon dermal application of [14c]-bmhca (11.37 mg test substance in 70% ethanol on 10 cm2 back skin) on 3 human volunteers for 6 hours, a mean of 1.4% (range 0.8 – 2.4%) of the applied dose was excreted in urine within 24 hours, whereas radioactivity was below the detection limit in urine samples of later time points and in all faeces and blood plasma samples. the overall mean total recovery of topical application of [14c]-bmhca was 71 ± 10%. in comparison to the in vitro observations, the absorption rate found in humans for ethanolic solutions of bmhca was comparable to what has been found in excised mini pig skin. given that the absorption of bmhca in mini pig skin was much higher when this compound was applied via real cream formulations, it is reasonable to conclude that bmhca might also better penetrate human skin when it is applied in cream formulations. since there is no further experimental data on this subject, the sccs concludes that the maximum fraction of bmhca being absorbed by human skin might be in the range of 25% rather than at 2.4%. in consideration of the comparability of pig skin with human skin, the dermal bioavailability of ethanolic (dissolved) bmhca to be used in the calculation of the systemic exposure dose (sed) and margin of safety (mos) will be set at 5% (worst case scenario based on 1% bmhca in etoh applied at 120 μg substance/cm2 onto 5 cm2 excised mini pig skin; result: total of 5.87 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). on the other hand, the penetration rate of bmhca applied onto the skin as ingredient of creamy formulations will be set at 25% (worst case scenario based on 36 μg substance/cm2 applied onto 5 cm2 excised mini pig skin; mean out of two experiments: total of 8.88 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). the sccs is aware of the issue that the exact identity of the cream formulations applied in the latter study remains obscure. the results obtained from the part of the study with 1% ethanolic bmhca can further be used to assess the sed for hydroalcoholic products to be applied on a defined surface area of shaved or unshaved skin once daily (1 x 305 cm2/day). here, an absorption of about 6 μg substance/cm2 can be assumed for unshaved skin (stratum corneum intact). for shaved skin (stratum corneum compromised), however, the total absorption would be 11 μg substance/cm2 (with the addition of the portion of 4.66 μg/cm2 that was found sticking in the stratum corneum in the respective experiment; cf. above). ",,,,"Roche 1982d, RIFM#56763",2 vehicles are tested,
