dossier,PDF link,type of study,guideline,absorption,distribution,metabolism,excretion,level in urine,level in faeces,level in blood/plasma,level in skin ,level in carcass/tissues,overall recoveries,exposure C max,exposure T max,exposure AUC,half-life absorption,half-life elimination,exposure other,statistical variation,signs of toxicity,"interpretation, discussion and result",conclusion,species/strain,source,age at start of experiment,"age unit (day, week, month, year)",weight,weight unit,"sex ( female, male)",feeding and housing,n subject / group,formulation and justification of use,details of preparation,amount applied,achieved concentration,vehicle,stability and homogenity,pH,solid,liquid,purity (%),chemical batch nr,additional info,purity %,batch number,specific activity,dose levels,dose level unit,volume,extraction,detection,"route (oral, dermal, iv, ip, other)","scheme (single, repeated, other)",surface & site condition,"dermal patching technic (non occlusive, semi-occlusive, occlusive)","period of exposure (minutes, hour, day, month, year)","tape stripping, removing, washing",samples,timing of the study,vehicle name,vehicle concentration,SCCS comment to test,year,GLP,klimisch score,Ref. in dossier,additional info,own comment
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,,"triclosan deposition on hairless mouse skin was 0.98 ± 0.11 and 1.16 ± 0.13 µg/cm2  skin, following application of approximately 22.54 and 25.49 µg triclosan/cm2  skin. the percent of the applied dose deposited on the skin was 4.425 ± 0.617 and 4.809 ± 1.236, respectively. ",,,,,,,,,,,,,mouse,,,,,,,,,liquid soap,,,,,,,,,,,test substance: triclosan ,,,,"22.54, 25.49 µg/cm2", µg/cm2,,,,dermal,,1*3cm2 back,,10 minutes,,,,,,,1985,no,,22,dermetrulias,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,,,,,,"maximum tissue levels (at 12 or 18 hours) were highest in the gallbladder (402 ± 57 µg/g), followed by liver (13.4 ± 3.5 µg/g), fat (10.0 ± 3.5 µg/g), lung (7.5 ± 2.9 µg/g), blood (6.5 ± 1.9 µg/g), and kidney (4.3 ± 0.8 µg/g). maximal levels in the testes, heart, and spleen were in the range of 1.1 to 1.8 µg/g. low levels were detected in the brain (0.2 to 0.5 µg/g). ",,,,,,,,,,,the maximal radioactivity in tissues (observed at 12 or 18 hours) following absorption of [3H]-triclosan was in the range of 14 to 67% of the maxima obtained following oral administration (μg/g range) ,mouse,,,,,,,,,,,,,olive oil,,,,,,,"test substance:  [3H]-irgasan® dp300 (1.6 mg, 10 µCi) ",,,10 µCi,,,0.05ml,,,dermal,,5cm2 back,,,,,,,,,1992,no,,5,kanetoshi et al. ,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,the absorbed amount as percentage of applied dose was not calculated,,,,,,"mean plasma triclosan levels in males: 32.5, 63.3, 98.8, 148.2, and 173.3 µg/mL at doses of 0.3, 0.6, 1.5, 3.0, and 6.0 mg/animal/d, respectively. females: 63.2, 124.8, 144.0, 124.0, 295.2 µg/mL for same doses.",,,,,,,,,,,,,,mouse/cd-1,,,,,,f & m,,10,,,,,acetone,,,,,,,test substance: triclosan ,,,,"0, 0.3, 0.6, 1.5, 3.0, 6.0 mg",mg,,,,dermal,single daily,2*3 cm2 dorsal,,14 days,,,,,,"the absorption of triclosan was assessed in two 14-day repeated dose dermal toxicity studies that showed dose-dependent increases in plasma triclosan levels following application of triclosan in propylene glycol and in acetone vehicles, respectively. triclosan in plasma was detected at the lowest doses used in the studies (0.3 mg/mouse/ day, or 12 mg/kg bw/day in a 25 g mouse, giving plasma levels of 7.4 and 32.5 µg/mL using propylene glycol and acetone vehicles, respectively). these results indicate that triclosan was readily absorbed through the skin and distributed to tissues in the mouse. ",1997,yes,,8,"burns, 1997a. toxicokinetic data from a dose range finding repeated dose dermal irritation study. two pooled plasma samples per treatment group (5 mice/sex/pooled sample)",
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,the absorbed amount as percentage of applied dose was not calculated,,,,,,"mean plasma triclosan levels in males: 7.4, 22.2, 38.6, 75.4, and 72.6 µg/mL at doses of 0.3, 0.6, 1.5, 3.0, and 6.0 mg/animal/d, respectively. females: 9.2, 33.0, 47.0, 101.8, 112.1 µg/mL for same doses.",,,,,,,,,,,,,,mouse/cd-1,,,,,,f & m,,10,,,,,propylene glycol,,,,,,,test substance: triclosan ,,,,"0, 0.3, 0.6, 1.5, 3.0, or 6.0 mg",mg,,,,dermal,single daily,2*3 cm2 dorsal,,14 days,,,,,,"the absorption of triclosan was assessed in two 14-day repeated dose dermal toxicity studies that showed dose-dependent increases in plasma triclosan levels following application of triclosan in propylene glycol and in acetone vehicles, respectively. triclosan in plasma was detected at the lowest doses used in the studies (0.3 mg/mouse/ day, or 12 mg/kg bw/day in a 25 g mouse, giving plasma levels of 7.4 and 32.5 µg/mL using propylene glycol and acetone vehicles, respectively). these results indicate that triclosan was readily absorbed through the skin and distributed to tissues in the mouse. ",1996,yes,,9,"burns, 1996. toxicokinetic data from a dose range finding repeated dose dermal irritation study. two pooled plasma samples per treatment group (5 mice/sex/pooled sample).",
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,the absorbed amount as percentage of applied dose was not calculated,,,,,,"mean plasma triclosan levels in males: 1.0, 2.1, 6.6, 14.1, and 31.6 µg/mL at doses of 0.3, 0.6, 1.5, 3.0, and 6.0 mg/rat/day, respectively. females: 1.2, 2.4, 5.2, 9.2, and 18.1 µg/mL. ",,,,,,,,,,,,,,rat/crl:cdbr,,,,,,f & m,,20,,,,,acetone,,,,,,,test substance: triclosan ,,,,"0, 0.3, 0.6, 1.5, 3.0, or 6.0 mg",mg,300µl,,,dermal,single daily,2*3 cm2 dorsal,,14 days,,,,,,"the percutaneous absorption studies were conducted in the rat. the results of these studies show that the extent of percutaneous absorption of triclosan is dependent on the vehicle used for application. the extent of triclosan absorption was in the range of 23 to 28% of the applied dose either in ethanol, ethanol/water, soap suspension, or a cream formulation. greater absorption was observed with triclosan in an aqueous solution or in vaseline, while lower absorption was observed with triclosan in shampoo. in addition to the absorption data from these four studies, plasma data from rats that received 14 days of repeated dermal applications of triclosan in acetone showed dose-dependent increases in plasma triclosan levels starting at the lowest dose used in the study (0.3 mg/rat/day, or 1.2 mg/kg bw/day in a 250 g rat, giving plasma levels of 1.0 µg/mL) [burns, 1997b (10)]. taken together, these data indicate that triclosan is readily absorbed through the skin of rats. vehicle : time point (hours) : % dose absorbed : reference;  pure ethanol :48 :28: black and howes, 1975 (23); shampoo : 48: 3 to 4: black and howes, 1975 (23); aerosol deodorant1 : 48: 52 : black and howes, 1975 (23); solution (ethanol, acetone) : 96 : 93 : ciba-geigy, 1976b (25); cream : 48 : 23 : ciba-geigy, 1976b (25); vaseline : 144 : 73 : ciba-geigy, 1976b (25); ethanol/water (9:1) : 24 : 21 : moss et al., 2000 (21);  soap suspension : 72 : 28 : hong et al., 1976 (24). 1*the determination of absorption following aerosol application was reported to be difficult by the authors of this study due to the lack of a standardized application of the spray. as such, the value of 52% should be interpreted cautiously. ",1997,yes,,10,"burns, 1997b. toxicokinetic data from a dose range finding repeated dose dermal irritation study. plasma samples were taken from 10 rats/sex/treatment group.",
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,"ethanol solution: 27.6% of the applied dose was absorbed within 48 hours. shampoo: penetration of [H3 ]-triclosan was dependent on concentration and independent of duration of contact (5, 10, or 20 minutes). absorption after 48 hours was in the range of 2.8 to 4.1% of the applied dose. ",ethanol solution: two peaks in plasma concentration 2 hours (0.278 ppm or 278 ng/mL) and 6 hours (0.264 ppm or 264 ng/mL) ,,,,,ethanol solution: blood levels were in the range of 0.07 to 0.30 µg/mL with tmax at 6 hours.,,,,,,,,,,,,"With respect to dermal applications of triclosan, a single-application study in newborn Rhesus monkeys using a triclosan-containing soap solution (1 mg/mL, 0.1%) resulted in a Tmax of 12 hours and a Cmax of 0.5 to 0.7 ppm (500 to 700 ng/mL) [Parkes, 1978a (29)]. In comparison to the single exposure monkey data, rats displayed 2 peaks in plasma concentration 2 hours (0.278 ppm or 278 ng/mL) and 6 hours (0.264 ppm or 264 ng/mL) following the dermal application of triclosan in an ethanol solution to a 7.5 cm2 section of rat skin [Black and Howes, 1975 (23)].",,rat,,,,,,,,,"test substance in an ethanol solution, in shampoo, or in an aerosol deodoran",,,,,"deodorant: report notes difficulty in administering a standard, accurate, known dose, so refers to data from the application using an ethanol solution as vehicle.",,,,,,test substance: triclosan ,,,,,,,,,dermal,,7.5 cm2 dorsal,,,,,,,,"the percutaneous absorption studies were conducted in the rat. the results of these studies show that the extent of percutaneous absorption of triclosan is dependent on the vehicle used for application. the extent of triclosan absorption was in the range of 23 to 28% of the applied dose either in ethanol, ethanol/water, soap suspension, or a cream formulation. greater absorption was observed with triclosan in an aqueous solution or in vaseline, while lower absorption was observed with triclosan in shampoo. in addition to the absorption data from these four studies, plasma data from rats that received 14 days of repeated dermal applications of triclosan in acetone showed dose-dependent increases in plasma triclosan levels starting at the lowest dose used in the study (0.3 mg/rat/day, or 1.2 mg/kg bw/day in a 250 g rat, giving plasma levels of 1.0 µg/mL) [burns, 1997b (10)]. taken together, these data indicate that triclosan is readily absorbed through the skin of rats. vehicle : time point (hours) : % dose absorbed : reference;  pure ethanol :48 :28: black and howes, 1975 (23); shampoo : 48: 3 to 4: black and howes, 1975 (23); aerosol deodorant1 : 48: 52 : black and howes, 1975 (23); solution (ethanol, acetone) : 96 : 93 : ciba-geigy, 1976b (25); cream : 48 : 23 : ciba-geigy, 1976b (25); vaseline : 144 : 73 : ciba-geigy, 1976b (25); ethanol/water (9:1) : 24 : 21 : moss et al., 2000 (21);  soap suspension : 72 : 28 : hong et al., 1976 (24). 1*the determination of absorption following aerosol application was reported to be difficult by the authors of this study due to the lack of a standardized application of the spray. as such, the value of 52% should be interpreted cautiously. ",1975,no,,23,black and howes,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,21% of the applied dose at 24h,,,"after 24 hours,,  ", 0.88% of radioactivity was in the urine,"11.84% in the faeces,",0.02% in the blood,"36.33% in the stratum corneum, 1.38% on the skin cover,26.13% on the skin surface, 4.31% in the skin after 24h",7.72% in the carcass ,recovery of radioactivity was 90.46% of the dose. ,,,,,,,,,,,rat,,,,,,,,,,,,,"ethanol-water (9:1, v/v)",,,,,,,test substance: triclosan ,,,6.92 Mbq ,,,,,,dermal,,9.6 cm2 dorsal,,,,,24h,,,"the in vitro findings in rat (Moss et al. 2000 (21)) were supported by in vivo studies with rats in which 0.4 and 1.5% of the parent glucuronide were reported to occur in the urine and skin, respectively, following the dermal application of triclosan [Moss et al., 2000 (21)]. These data show that triclosan is metabolised in the skin. the percutaneous absorption studies were conducted in the rat. the results of these studies show that the extent of percutaneous absorption of triclosan is dependent on the vehicle used for application. the extent of triclosan absorption was in the range of 23 to 28% of the applied dose either in ethanol, ethanol/water, soap suspension, or a cream formulation. greater absorption was observed with triclosan in an aqueous solution or in vaseline, while lower absorption was observed with triclosan in shampoo. in addition to the absorption data from these four studies, plasma data from rats that received 14 days of repeated dermal applications of triclosan in acetone showed dose-dependent increases in plasma triclosan levels starting at the lowest dose used in the study (0.3 mg/rat/day, or 1.2 mg/kg bw/day in a 250 g rat, giving plasma levels of 1.0 µg/mL) [burns, 1997b (10)]. taken together, these data indicate that triclosan is readily absorbed through the skin of rats. vehicle : time point (hours) : % dose absorbed : reference;  pure ethanol :48 :28: black and howes, 1975 (23); shampoo : 48: 3 to 4: black and howes, 1975 (23); aerosol deodorant1 : 48: 52 : black and howes, 1975 (23); solution (ethanol, acetone) : 96 : 93 : ciba-geigy, 1976b (25); cream : 48 : 23 : ciba-geigy, 1976b (25); vaseline : 144 : 73 : ciba-geigy, 1976b (25); ethanol/water (9:1) : 24 : 21 : moss et al., 2000 (21);  soap suspension : 72 : 28 : hong et al., 1976 (24). 1*the determination of absorption following aerosol application was reported to be difficult by the authors of this study due to the lack of a standardized application of the spray. as such, the value of 52% should be interpreted cautiously. ",2000,no,,21,moss et al. 0.24% in the cage wash afetr 24h.,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,the applied dose remained primarily on the adhesive pad (~64%). 28% of the applied dose was absorbed after 72h,,,absorbed triclosan was primarily excreted in the faeces,0.5% of the applied dose was recovered in the urine ,14.66%  applied dose was recovered in the faeces,0.1% of the applied dose was recovered in the blood ,5.5%  of the applied dose was recovered in the  skin,7.2% of the applied dose was recovered in the caracasse/tissue,,,,,,,,,,,,rat,,,,,,,,,soap suspension,,,,,,,,,,,test substance: triclosan ,,,,4,"mg/cm2 (400 mg/kg, 10µCi/rat)",,,,dermal,single daily,back,,,,,72h,,,"the percutaneous absorption studies were conducted in the rat. the results of these studies show that the extent of percutaneous absorption of triclosan is dependent on the vehicle used for application. the extent of triclosan absorption was in the range of 23 to 28% of the applied dose either in ethanol, ethanol/water, soap suspension, or a cream formulation. greater absorption was observed with triclosan in an aqueous solution or in vaseline, while lower absorption was observed with triclosan in shampoo. in addition to the absorption data from these four studies, plasma data from rats that received 14 days of repeated dermal applications of triclosan in acetone showed dose-dependent increases in plasma triclosan levels starting at the lowest dose used in the study (0.3 mg/rat/day, or 1.2 mg/kg bw/day in a 250 g rat, giving plasma levels of 1.0 µg/mL) [burns, 1997b (10)]. taken together, these data indicate that triclosan is readily absorbed through the skin of rats. vehicle : time point (hours) : % dose absorbed : reference;  pure ethanol :48 :28: black and howes, 1975 (23); shampoo : 48: 3 to 4: black and howes, 1975 (23); aerosol deodorant1 : 48: 52 : black and howes, 1975 (23); solution (ethanol, acetone) : 96 : 93 : ciba-geigy, 1976b (25); cream : 48 : 23 : ciba-geigy, 1976b (25); vaseline : 144 : 73 : ciba-geigy, 1976b (25); ethanol/water (9:1) : 24 : 21 : moss et al., 2000 (21);  soap suspension : 72 : 28 : hong et al., 1976 (24). 1*the determination of absorption following aerosol application was reported to be difficult by the authors of this study due to the lack of a standardized application of the spray. as such, the value of 52% should be interpreted cautiously. ",1976,no,,24,hong et al. ,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,,,,faecal route was the predominant route of excretion where triclosan was 70 to 90% excreted compared to 3 to 4% eliminated in the urine,"solutions – within 96 hours, 2.8 to 3.7%  of the applied dose were excreted in the urine. cream – within 48 hours, 1%  applied dose were excreted in the urine. vaseline – within 144 hours, 13% of the applied dose were excreted in the urine.","solutions – within 96 hours69 to 89% of the applied dose were excreted in the faeces. cream – within 48 hours, 22% of the applied dose were excreted in the faeces. vaseline – within 144 hours, 60% of the applied dose were excreted in the faeces",,,,,,,,,,,,,,,rat,,,,,,,,,"triclosan solution (ethanol, acetone), formulated in cream or in vaseline",,,,,,,,,,,test substance: triclosan ,,,,,,,,,dermal,single,neck,,,,,,,,"the percutaneous absorption studies were conducted in the rat. the results of these studies show that the extent of percutaneous absorption of triclosan is dependent on the vehicle used for application. the extent of triclosan absorption was in the range of 23 to 28% of the applied dose either in ethanol, ethanol/water, soap suspension, or a cream formulation. greater absorption was observed with triclosan in an aqueous solution or in vaseline, while lower absorption was observed with triclosan in shampoo. in addition to the absorption data from these four studies, plasma data from rats that received 14 days of repeated dermal applications of triclosan in acetone showed dose-dependent increases in plasma triclosan levels starting at the lowest dose used in the study (0.3 mg/rat/day, or 1.2 mg/kg bw/day in a 250 g rat, giving plasma levels of 1.0 µg/mL) [burns, 1997b (10)]. taken together, these data indicate that triclosan is readily absorbed through the skin of rats. vehicle : time point (hours) : % dose absorbed : reference;  pure ethanol :48 :28: black and howes, 1975 (23); shampoo : 48: 3 to 4: black and howes, 1975 (23); aerosol deodorant1 : 48: 52 : black and howes, 1975 (23); solution (ethanol, acetone) : 96 : 93 : ciba-geigy, 1976b (25); cream : 48 : 23 : ciba-geigy, 1976b (25); vaseline : 144 : 73 : ciba-geigy, 1976b (25); ethanol/water (9:1) : 24 : 21 : moss et al., 2000 (21);  soap suspension : 72 : 28 : hong et al., 1976 (24). 1*the determination of absorption following aerosol application was reported to be difficult by the authors of this study due to the lack of a standardized application of the spray. as such, the value of 52% should be interpreted cautiously. ",1976,no,,25,ciba-geigy 1976b,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vivo,non OECD,"soap solutions – 2 to 10% of the applied dose was absorbed (radioactivity measured in urine, faeces, skin, expired air, and organs and tissues). ",,,moderately greater urinary excretion compared to faecal elimination (47 to 53% vs. 38% of the applied triclosan solution excreted in the faeces; 29 to 48% in urine vs. less than 2% in faeces following the cream application),"solutions – 47 to 53% of the applied dose excreted in the urine  independent of dose. creams – 29 to 48% of the applied dose was excreted in urine, inversely dependent on quantity of cream applied per unit area.",solutions – 38% of the applied dose excreted in the faece independent of dose. creams –  ≤2% excreted in faeces.,,,,,,,,,,,,,,,rabbit,,,,,,,,,"test substance in solution ( propylene glycol, dmso, nikethamide, or hexane), in cream, or in soap solution ",,,,,,,,,,,test substance: triclosan ,,,,,,,,,dermal,single or repeated (5times),,,,,,,,,"in another percutaneous absorption study in rabbits, the extent of absorption of triclosan was dependent on the type of formulation (solutions: >85% of the applied dose was absorbed; creams: 29 to 48% was absorbed; soap solutions: 2 to 10% was absorbed), as was observed in studies with rats [ciba-geigy, 1976b (25)]. ",1976,no,,25,ciba-geigy 1976b,
