dossier,PDF link,type of study,guideline,dermal absorption profile (dermal bioavailability),overall recovery,skin washing ,skin,receptor fluid,cell washing ,skin distribution demonstration ,tabulated data,discussion and result,conclusion,source and site of skin ,method of preparation,storage conditions prior to use,"pre-treatment",skin integratity and barrier function,replicates,composition,solubility of the test substance,flow rate,static,flow-through,other,"donor chamber (occluded, non-occluded)",pH,solid,liquid,test substance concentration (%),purity (%),chemical batch nr,additional info,material purity,batch number,specific activity,homogeneity and stability,formulation,dose levels,dose level unit,volume,exposed area cm²,"duration of exposure (min, h)",sampling,assay method,extraction technique,limits of detection ,analytical method validation ,details of removal and washing,SCCS comment to test,year,GLP,control,klimisch score,Ref. in dossier,additional info,own comment
hydroxypropyl p-phenylenediamine and its dihydrochloride salt,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_230.pdf,in vitro,OECD 428,the mean amount of hydroxypropyl p-phenylenediamine HCl considered as systemically available was estimated as follows (sum of amounts measured in living epidermis/dermis and receptor fluid): 2.09 ± 1.61 μgeq/cm2 (0.54 ± 0.41% of the applied dose).,100.2% (mass balance analysis: 100.20% ± 0.83% of the applied dose),most of the hydroxypropyl p-phenylenediamine HCl applied on the skin surface was removed with the skin wash at 30 minutes (95.98%).,,,,summary of hydroxypropyl p-phenylenediamine hcl distribution in the test system. μg-eq/cm2 hydroxypropyl p-phenylenediamine hcl mean (sd); % of applied dose mean (sd): total dislodgeable dose: 376.56 (23.49) μg-eq/cm2; 96.75 (1.94) % / unabsorbed dose : 387.78 (21.6) μg-eq/cm2; 99.66 (1.15) % / absorbed dose: 0.26 (0.16) μg-eq/cm2; 0.07 (0.04) % / dermal delivey: 2.09 (1.61); 0.54 (0.41) % /mass balance: 389.87 (21.36) μg-eq/cm2; 100.2 (0.83)% / unabsorbed dose = total dislodgeable dose + stratum corneum + unexposed skin. absorbed dose = receptor fluid + receptor rinse + receptor wash. dermal delivery = epidermis + dermis = absorbed dose,,,the results obtained in this study indicate that hydroxypropyl p-phenylenediamine HCl present at a maximum final on-head concentration of 2% in a typical oxidative hair dye formulation penetrated through human dermatomed skin at a very slow rate. ,human,,,,"checked by electrical resistance, at least 10 kΩ",,degassed PBS,100 g/L,,,,,,,,,2%,99.3,r0025521b 004 p 001,,97,r0025521b cfq41882,,"the hplc analysis of the hair dye formulation performed following the dosing procedure and 24 hours post application was 102% and 97.8%, respectively, confirming that the formulation was stable for a 24-hour period. ","a typical oxidative hair dye formulation containing a nominal 4% hydroxypropyl p-phenylenediamine HCl was mixed with peroxide developer (1:1, w/w) resulting in a concentration of 2% hydroxypropyl p-phenylenediamine HCl.",20 ,"mg/cm², 400µg/cm2 of test substance",,2.54,0.5h,24h,liquid scintillation counting,,,,tape stripping: yes (20),"following the sccs notes of guidance, the dermal absorption of hydroxypropyl p-phenylenediamine 2HCl was estimated to be 3.7 µg/cm2 (mean + 1SD).",2014,yes,,,"toner, 2014",,
basic red 51,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,in vitro,OECD 428,"the total absorption amounted to 1.61% and 0.13% of the applied dose for rat and human skin membranes, respectively. ",,,,,,the penetration of [14C] red (mip^ 2985) through rat and human skin membrane was very low. the mean flux value was calculated to be 0.067 µg/cm²/h in rat and 0.031 µg/cm²/h in human.,,,,"rat (2 males, strain: hanbrl: wist (spf)) /human (2 female donors)",split-thickness 200µm,,,"permeability coefficient (Kp) of tritium water: Kp < 3.5 x 10-3 cm/h (rat), Kp < 2.5 x 10-3 cm/h (human)",7,0.9% NaCl w/v,,,,automated flow-through,,,,,,,95.9,21187fc3,test substance: red (mip 2985),98.15,3501-069,"2072 MBq/mmol, 56 mCi/mmol",,aqueous solution contains about 4% inorganic salt,19,mg/cm² (leading to an area concentration of 182 µg/cm²),,0.64,,,liquid scintillation counting,,,,,only 2 subjects were used for each study. only non-oxidative conditions have been studied,2005,yes,,,"1, submission 2",,2 species
basic red 51,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,in vitro,OECD 428,the results obtained in this study indicate that the absorption of basic red 51 through human skin from the semi-permanent or oxidative formulations is slow.,"0.200% (0.399/µg eq/cm²) and 0.351% (0.351/µg eq/cm²) of the applied basic red 51, semi-permanent and oxidative formulations respectively, was regarded as being systemically available.","oxidative condition: 98.2 µg eq/cm2 mean (sd: 4.63), 98.1% of dose recovered mean (sd:4.63); non-oxidative : 193µgeq/cm2 mean (sd: 5.43), 96.7% of dose recovered mean (sd:2.72)","oxidative: stratum coreneum: 0.992 µg eq/cm2 recovered mean (sd: 0.748), 0.991% of dose recovered mean (sd: 0.747), remaining epidermis/dermis: 0.338µg eq/cm2 recovered mean (sd:0.188), 0.337% of dose recovered mean (sd: 0.188%). non-oxidative: stratum corneum 0.563µg eq/cm2 amount recovered mean (sd: 0.172), 0.281% of dose recovered mean (sd: 0.086) & remaining epidermis/dermis: 0.384 µgeq/cm2 amount recovered mean (sd: 0.253), 0.192% of dose recovered ","oxidative: receptor & grid: 0.022 µg eq/cm2 amount recovered mean (sd: 0.002), 0.022% of dose recovered mean (sd:0.002) + receptor fluid: 0.014µg eq/cm2 amount recovered mean (sd:0.003), 0.013 % dose recovered mean (sd: 0.003). non-oxidative: receptor & grid: 0.20 µg eq/cm2 amount recovered mean (sd:0.002), 0.010% dose recovered mean (sd:0.001) + receptor fluid: 0.016 µg eq/cm2 amount recovered mean (sd: 0.010), 0.008% dose recovered mean (sd:0.005)",,,,,3 cells were excluded from the oxidative condition analysis. ,"human (10 females donor, 6 oxidative condition and 4 non-oxidative condition)",post mortem dermatomed skin 400µm,,,"electrical resistance, > 10 kΩ",9,phosphate buffered saline,40 mg/ml at 30 °C,,,,glass diffusion cell,,,,,1%(nominal concentration) formulations oxidative and non-oxidative conditions,97.9,028936fc3,test substance: basic red 51,,3501-069,50.5 mCi/mmol,,,20,"mg/cm² test formulation; dose of test substance: 0.5% (100 µg/cm²) under oxidative conditions, 1.0% (200 µg/cm²) under non-oxidative conditions",,2.54 ,,,liquid scintillation counting,,,,,"the mean + 1 SD, 0.660 (0.399 ± 0.261) µg/cm² can be used to calculate the MOS under non-oxidative conditions and 0.540 (0.351 ± 0.189) µg/cm² under oxidative conditions",2005,yes,,,"2, submission 2",,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,OECD 428,11.3% (0.420 µg/cm2). Period of penetration was between 8 and 24 h following a lag phase of approximately 8 h. The rate of skin permeation reached ~0.008 µg/cm2 /h. ,95%,,"As measured at 24 h, triclosan in the surface material was 76% of the applied dose (65% in the 24-h surface wipe and 11% in the first 3 tape strips of skin). Succeeding tape-strips (strips 4-20) contained 6.8% of the applied dose (0.25 µg/cm2) and 7.4% of the dose was recovered from the remainder of the sample of skin (0.28±0.05 µg/cm2).","After 24 h, 3.9±0.4% of the applied dose of triclosan had penetrated into the receptor fluid (0.14±0.01 µg/cm2).",,,,,Percutaneous absorption was calculated to be 11.3% (0.42 µg/cm2) based on receptor fluid plus remainder of skin after removal of tape strips 1-20. ,human female epidermal skin from coemstic surgery ,,,,,,,,,,,diffusion cells,,,,liquid,0.2,,,leave-on ,,,,,triclosan in w/o emulsion ,,,,,24h,,,,,,wipe and tape strips,"3 H-labelled triclosan has been used to examine percutaneous absorption in a number of in vitro studies. Percutaneous penetration of 30.3% of the total applied dose of triclosan in an ethanol/water solution was measured 24 hours after application of the dose to human skin samples in a diffusion cell system [Moss et al., 2000 (21)]. Results from studies using skin samples in diffusion cells showed limited percutaneous absorption following application of triclosan to the skin surface in any of the formulations used. The amount of triclosan tested in most of these studies (0.2%) is within the range of anticipated concentrations in consumer products (from 0.15 to 0.3%). The low concentration in the soap solution study (0.02%) was intended to simulate actual-use conditions (i.e., a soap solution of 0.2% triclosan would be diluted with water when applied to the skin). Appropriate rinse steps were included in the rinse-off product studies. As recommended by SCCP guidelines (SCCP, 2006), calculations of dermal absorption included the amounts of triclosan recovered in the dermis and epidermis layers (i.e., the “remaining sample of skin” after removing the stratum corneum, represented by tape strips 1 to 20 in these studies) and the amount recovered in the receptor fluid. Table 37 presents a summary of the values from the in vitro studies conducted in human skin samples. The results from the autoradiography study [Black et al., 1975 (27)] indicated no significant differences in the low levels of percutaneous absorption between different soap vehicles or between single versus multiple applications [Black et al., 1975 (27)]. Overall, the dermal absorption of triclosan was shown in these in vitro studies to be lower in human skin than in rat (7.2 to 30.3% versus 41.2% in studies in rats, including the data from the study using ethanol/water formulation)].",1998,yes,,,130,ciba speciality chemical. comparable to oecd 428. ,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,OECD 428,12.0% (0.483 µg/cm2). Period of penetration was between 2 and 6 h following a lag time of about 2 h. The rate of skin permeation reached ~0.01 µg/cm2 /h. ,89%,"As measured at 24 h, 70% had been recovered in the 30-minute rinsate.","As measured at 24 h, triclosan in the surface material was 4.3% of the applied dose (<1% of wiped off surface); Succeeding tape-strips (strips 4-20) contained 3.0% of the applied dose (0.25 µg/cm2), and 9.7±1.7% of the dose was recovered from the remainder of the sample of skin (0.39±0.06 µg/cm2).","After 24 h, 2.3±0.3% of the applied dose had penetrated into the receptor fluid (0.093±0.01 µg/cm2).",,,,,Percutaneous absorption was calculated to be 12.0% (0.483 µg/cm2) based on receptor fluid plus remainder of skin after removal of tape strips 1-20. ,human female epidermal skin from coemstic surgery ,,,,,,,,,,,diffusion cells,,,,,0.2,,,rinse-off,,,,,triclosan in dishwashin liquid,,,,,24h,,,,,,rinse of after 30 mins,"3 H-labelled triclosan has been used to examine percutaneous absorption in a number of in vitro studies. Percutaneous penetration of 30.3% of the total applied dose of triclosan in an ethanol/water solution was measured 24 hours after application of the dose to human skin samples in a diffusion cell system [Moss et al., 2000 (21)]. Results from studies using skin samples in diffusion cells showed limited percutaneous absorption following application of triclosan to the skin surface in any of the formulations used. The amount of triclosan tested in most of these studies (0.2%) is within the range of anticipated concentrations in consumer products (from 0.15 to 0.3%). The low concentration in the soap solution study (0.02%) was intended to simulate actual-use conditions (i.e., a soap solution of 0.2% triclosan would be diluted with water when applied to the skin). Appropriate rinse steps were included in the rinse-off product studies. As recommended by SCCP guidelines (SCCP, 2006), calculations of dermal absorption included the amounts of triclosan recovered in the dermis and epidermis layers (i.e., the “remaining sample of skin” after removing the stratum corneum, represented by tape strips 1 to 20 in these studies) and the amount recovered in the receptor fluid. Table 37 presents a summary of the values from the in vitro studies conducted in human skin samples. The results from the autoradiography study [Black et al., 1975 (27)] indicated no significant differences in the low levels of percutaneous absorption between different soap vehicles or between single versus multiple applications [Black et al., 1975 (27)]. Overall, the dermal absorption of triclosan was shown in these in vitro studies to be lower in human skin than in rat (7.2 to 30.3% versus 41.2% in studies in rats, including the data from the study using ethanol/water formulation)].",1998,yes,,,131,Ciba Specialty Chemicals. comparable to oecd 428. ,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,OECD 428,7.7% (0.303 µg/cm2). Period of penetration was between 8 and 24 h following a lag phase of 6-8 h. The rate of skin permeation reached ~0.002 µg/cm2 /h.,84%,,"As measured at 24 h, triclosan in the surface material was 64% of the applied dose (40% in the 24-h surface wipe and 24% in the first 3 tape strips of skin). Succeeding tape-strips (strips 4-20) contained 13.2% of the applied dose (0.50 µg/cm2 ), and 6.8% of the dose was recovered from the remainder of the sample of skin (0.27±0.09 µg/cm2 ).","After 24 h, 0.85±0.13% of the applied dose of triclosan had penetrated into the receptor fluid (0.033±0.006 µg/cm2 ).",,,,,Percutaneous absorption was calculated to be 7.65% (0.303 µg/cm2) based on receptor fluid plus remainder of skin after removal of tape strips 1-20.,human female epidermal skin from coemstic surgery ,,,,,,,,,,,diffusion cells,,,,,0.2,,,leave-on ,,,,,triclosan in deodarant formulation ,,,,,24h,,,,,,wipe and tape strips,"3 H-labelled triclosan has been used to examine percutaneous absorption in a number of in vitro studies. Percutaneous penetration of 30.3% of the total applied dose of triclosan in an ethanol/water solution was measured 24 hours after application of the dose to human skin samples in a diffusion cell system [Moss et al., 2000 (21)]. Results from studies using skin samples in diffusion cells showed limited percutaneous absorption following application of triclosan to the skin surface in any of the formulations used. The amount of triclosan tested in most of these studies (0.2%) is within the range of anticipated concentrations in consumer products (from 0.15 to 0.3%). The low concentration in the soap solution study (0.02%) was intended to simulate actual-use conditions (i.e., a soap solution of 0.2% triclosan would be diluted with water when applied to the skin). Appropriate rinse steps were included in the rinse-off product studies. As recommended by SCCP guidelines (SCCP, 2006), calculations of dermal absorption included the amounts of triclosan recovered in the dermis and epidermis layers (i.e., the “remaining sample of skin” after removing the stratum corneum, represented by tape strips 1 to 20 in these studies) and the amount recovered in the receptor fluid. Table 37 presents a summary of the values from the in vitro studies conducted in human skin samples. The results from the autoradiography study [Black et al., 1975 (27)] indicated no significant differences in the low levels of percutaneous absorption between different soap vehicles or between single versus multiple applications [Black et al., 1975 (27)]. Overall, the dermal absorption of triclosan was shown in these in vitro studies to be lower in human skin than in rat (7.2 to 30.3% versus 41.2% in studies in rats, including the data from the study using ethanol/water formulation)].",1998,yes,,,132,Ciba Specialty Chemicals. comparable to oecd 428. ,
triclosan,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,in vitro,OECD 428,"7.2% (0.0306 µg/cm2). Period of penetration was between 2 and 6 h (following a short lag time of f <1 h). The rate of skin permeation reached ~0.001 µg/cm2 /h between 2 and 6 hours. There was marked decrease in penetration between 6 and 8 h, reaching a plateau by 24 hours",91%,,"As measured at 24 h, triclosan in the surface material (with stratum corneum) was 9%. Succeeding tape-strips (strips 4-20) contained 4.3% of the applied dose (0.018 µg/cm2 ) and 4.9% (0.021±0.0042 µg/cm2 ) of the dose was recovered from the remainder of the sample of skin.","After 24 h, 2.3±0.25% of the applied dose of triclosan had penetrated into the receptor fluid (0.0096±0.0011 µg/cm2 ).",,,,,Percutaneous absorption was calculated to be 7.2% (0.0306 µg/cm2) based on receptor fluid plus remainder of skin after removal of tape strips 1-20.,human female epidermal skin from coemstic surgery ,,,,,,,,,,,diffusion cells,,,,,0.02,,,rinse-off,,,,,triclosan in soal solution ,,,,,24h,,,,,,rinse off after 10 mins,"3 H-labelled triclosan has been used to examine percutaneous absorption in a number of in vitro studies. Percutaneous penetration of 30.3% of the total applied dose of triclosan in an ethanol/water solution was measured 24 hours after application of the dose to human skin samples in a diffusion cell system [Moss et al., 2000 (21)]. Results from studies using skin samples in diffusion cells showed limited percutaneous absorption following application of triclosan to the skin surface in any of the formulations used. The amount of triclosan tested in most of these studies (0.2%) is within the range of anticipated concentrations in consumer products (from 0.15 to 0.3%). The low concentration in the soap solution study (0.02%) was intended to simulate actual-use conditions (i.e., a soap solution of 0.2% triclosan would be diluted with water when applied to the skin). Appropriate rinse steps were included in the rinse-off product studies. As recommended by SCCP guidelines (SCCP, 2006), calculations of dermal absorption included the amounts of triclosan recovered in the dermis and epidermis layers (i.e., the “remaining sample of skin” after removing the stratum corneum, represented by tape strips 1 to 20 in these studies) and the amount recovered in the receptor fluid. Table 37 presents a summary of the values from the in vitro studies conducted in human skin samples. The results from the autoradiography study [Black et al., 1975 (27)] indicated no significant differences in the low levels of percutaneous absorption between different soap vehicles or between single versus multiple applications [Black et al., 1975 (27)]. Overall, the dermal absorption of triclosan was shown in these in vitro studies to be lower in human skin than in rat (7.2 to 30.3% versus 41.2% in studies in rats, including the data from the study using ethanol/water formulation)].",1998,yes,,,133,Ciba Specialty Chemicals. comparable to oecd 428. ,
hc red n° 3,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,in vitro,OECD 428,systemically available material ( sum of remaining epidermis and receptro fluid data) = 1.05 µg hc red 3/cm2 skin (0.173% of applied dose),98.7%,"at 0.5h: 594 µg/cm2 (98% of applied dose), at 48h: 1.79 µg/cm2 (0.296% of applied dose)","amount remaining in epidermis/dermis after 48 hours = 0.612 µg/cm2 (0.101% of applied dose), on stratum corneum: 0.480 µg/cm2 (0.079% of applied dose)","48 hour receptor fluid value = 0.436 µg/cm2 (0.072% of applied dose), at 0.5h: 0.001 µg/cm2 (0.000% of applied dose), at 1h: 0.006 µg/cm2 (0.001% of applied dose), at 2h: 0.012 µg/cm2 (0.002% of applied dose), at 4h: 0.22 µg/cm2 (0.004% of applied dose), at 6h: 0.036 µg/cm2 (0.006% of applied dose), at 24h: 0.218 µg/cm2 (0.036% of applied dose), at 29h: 0.269 µg/cm2 (0.044% of applied dose)",,,"cell by cell information in the opinion regarding the amount recovered in flange, donor chamber, skin wash at 0.5h, skin wash at 48h, stratum corneum, remaining epidermis /dermis, receptor fluid , systemitically available and total ",,,human 5 donors,dermatomed skin 400µm thick,,,electrical resistance (<10 kΩ rejected),12,4% polyoxyethylene 20 oleyl ether in pbs,0.75 mg/ml,,,,glass cells,,,,,3,97.9,l35939,"test substance: hc red 3, radiochemical substance: 14C red 3",99.5,lot 530-044-076,"2.109 GBq/mmol (57.0 mCi/mmol), [14C]-radiolabelled hc red 3 was incorporated into the dose to give 1x108  to 1x109 dpm/ml. ",,non-oxidative hair dye base containing no other dye precursors.,20,mg/ml (600 μg/cm2 hc red 3),,2.45cm2,0.5h,"0.5, 1, 2, 4, 6, 24, 29, and 48 hours after application.",liquid scintillation counting,,,,,5 donors were used with at least 2 cells from a donor. the absorption of a hc red 3 from a non-oxidative hair dye formulation was 1.05 (+ 0.53) µg/cm² or 0.17 (+ 0.09) % of the applied dose. a figure of 1.58 µg/cm² (mean + 1sd) may be used for calculating the mos.,2004,yes,,,16,,
acid orange 7 ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf ,in vitro,OECD 428,"sccs: the amount absorbed should be for both experiments (worst situation): - 1.2 μg (for the receptor fluid) + 2.4 μg (for the dermis) + 9.0 μg (for the epidermis) = 12.6 μg absorbed in 24 hours after a contact of 30 minutes - 1.1 μg (for the receptor fluid) + 3.1 μg (for the dermis) + 18.0 μg (for the epidermis) = 22.2 μg absorbed in 24 hours after a contact of 30 minutes - for the two studies associated, the mean total absorbed through the skin would be 17.4 μg in 24 hours after a contact of 30 minutes. author: the maximal possible calculated amount of the test item diffusing across the skin barrier is 1.2 μg/cm² in the first and 1.1 μg/cm2 in the second experiment. together with the lower skin extract, the worst case consideration of penetrated test item is 2.4 μg/cm² (0.26% of the applied dose) in the first and 4.2 μg/cm² (0.37% of the applied dose) in the second experiment. it has to be emphasised that the values of the absorption without the lower skin are calculated and do not reflect real penetration.",author: the mean recovery of the test item was 107.9% in the first and 92.9% in the second experiment.,,,,,,,,,pig ear skin ,dissection 400-500 μm thickness,used immediatly after slaughter ,"obtained from the slaughter house immediately after slaughter and before steam cleaning were used for this experiment. the outer ear region was washed, carefully shaved and the skin was removed by dissection. thickness of the dissected skin was approximately 400-500 μm",following the washing procedure the donor chambers were filled with 1ml of saline pH 3.0 for monitoring skin integrity during the 24 hours of diffusion). skin integrity checked by conductivity measurement ,12,"saline, pH 3.0,",,"1-2 ml/hour,",,glass flow-through diffusion cell ,,occluded wth paraffin ,,,,0.5,90,2097af,test substance: d&c orange 4,,,,,test item: d&c orange 4 used at 0.5% in a hair dye gel formulation batch: t1e20000642 ,200,mg ,200µl,1 cm2,0.5h,"0.5, 1, 2, 4, 6, 8 and 24 hours",hplc,"at the end of the experiment, the epidermal membrane was separated from the full thickness skin by heat. this technique as described by the applicant removes the horny layer and part of the upper stratum germinativum from the rest of the skin (lower stratum germinativum and upper dermis). after skin extraction, the item bound in the tissues was quantified. since the epidermis was separated from the dermis by heat separation method,  the amount of dye found in the upper skin is considered by the applicant not to have passed the skin. the amount of penetrated test item found in the receptor solution plus that found in the lower skin extracts are considered as penetrated and absorbed. ",the lowest detection limit under the conditions reported is 0.08 μg/ml in the first and 0.078 μg/ml in the second experiment,,after 30 min of contact the test item was removed from skin with shampoo solution.,"* the applied dose of 200 mg/cm² is too high * the use of a receptor phase at pH 3 is “non-physiologic” and unjustified * during the complete diffusion period (24 hours) the stratum corneum is in contact with 1 ml of pH 3 saline that is according to the applicant “compatible” with the test product. no information is provided on the effect of this permanent liquid in contact with the horny layer on the skin extraction or diffusion of the test compound. * the heat separation is considered removing part of the stratum germinativum, in this case most of the epidermis is not taken into account for the estimation of the percutaneous absorption. no histology was performed. It is not acceptable to consider the stratum germinativum (the basal layer) as part of the “horny layer”, i.e. a structure from which the tested compound will be exfoliated. * the study is not in accordance with the sccs requirements. ",,yes,"""neutral gel"" (composition not stated) ",,23,the receptro fluid was collected in plastic vials which were replaced according to the sampling times and stored at – 20 °c. the whole test system was set up in an incubator adjusted to 32 °c. ,"two experiments are mentioned however, in the text the available information indicates one experiment."
acid orange 7 ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_158.pdf ,in vitro,OECD 428,mean dermal absorption: 1.13 ± 1.15 µg/cm2 ( exp 1-3 ± SD : 1.25 ± 1.25%),,,,,,,dermal absorption in µg/cm2 and % per cell available in the opinion,,"under the reported conditions, the dermal absorption of d&c orange 4 is 1.13 ± 1.15 μg/cm² or 1.25 ± 1.20% (mean value of 17 diffusion cells (17 donors)).",pig ear skin ,fresh dermatomed 300µm thickness,,,conductivity < 900 μS. the conductivity across the skin samples of each cell was determined before treatment and after the last sampling as a measure of skin integrity.,17 (1 was excluded) 3 experiment x 6 cells  ,saline (0.9% nacl),,,,glass flow-through diffusion cell ,,,,,,,90,t1 e 2000064 4,test substance: d&c orange 4,,,,≥ 72 hours in water,test item: sc clear + 0.5% d&c orange 4 (lot aj 3559) ,20,μl /cm² (100 µg/cm² of test susbtance),,,0.5h,,hplc analysis and uv/vis,,,,,"as a new dermal absorption study (ref 1. subm. 3) has been submitted, the results of the study described above are ignored.",2005,yes,,,31,,not celar sc is the abbreviation for what. 
